G,Name,U+,Style,Tags
,vial,e109,,
,video-off,e10a,,
,video-on,e10b,,
,view-board,e10c,,
,view-column,e10d,,
,view-list,e10e,,
,view-table,e10f,,
,view-timeline,e110,,
,virus,e111,,
,voicemail,e112,,
,volume,e115,,
,volume-high,e113,,
,volume-mute,e114,,
,wallet,e116,,
,warning,e117,,
,wave-pulse-1,e118,,
,wheat,e119,,
,wifi-off,e11a,,
,wifi-on,e11b,,
,youtube,e11c,,
,zoom-in,e11d,,
,zoom-out,e11e,,
