G,Name,U+,Style,Tags
,chevron-double-right-2,e0cb,,
,chevron-double-up,e0ce,,
,chevron-double-up-2,e0cd,,
,chevron-down,e0d0,,
,chevron-down-2,e0cf,,
,chevron-left,e0d2,,
,chevron-left-2,e0d1,,
,chevron-right,e0d4,,
,chevron-right-2,e0d3,,
,chevron-up,e0d8,,
,chevron-up-2,e0d5,,
,chevron-up-down,e0d7,,
,chevron-up-down-2,e0d6,,
,circle-stack,e0da,,
,circle-stack-2,e0d9,,
,clipboard,e0e2,,
,clipboard-2,e0db,,
,clipboard-document,e0e1,,
,clipboard-document-2,e0dc,,
,clipboard-document-check,e0de,,
,clipboard-document-check-2,e0dd,,
,clipboard-document-list,e0e0,,
,clipboard-document-list-2,e0df,,
,clock,e0e4,,
,clock-2,e0e3,,
,cloud,e0ea,,
,cloud-2,e0e5,,
,cloud-arrow-down,e0e7,,
,cloud-arrow-down-2,e0e6,,
,cloud-arrow-up,e0e9,,
,cloud-arrow-up-2,e0e8,,
,code-bracket,e0ed,,
,code-bracket-2,e0eb,,
,code-bracket-3,e0ec,,
,cog,e0f3,,
,cog-2,e0ee,,
,cog-6-tooth,e0f0,,
,cog-6-tooth-2,e0ef,,
,cog-8-tooth,e0f2,,
,cog-8-tooth-2,e0f1,,
,command-line,e0f5,,
,command-line-2,e0f4,,
,computer-desktop,e0f7,,
,computer-desktop-2,e0f6,,
,cpu-chip,e0f9,,
,cpu-chip-2,e0f8,,
,credit-card,e0fb,,
,credit-card-2,e0fa,,
,cube,e0fd,,
,cube-2,e0fc,,
,cube-transparent,e0ff,,
,cube-transparent-2,e0fe,,
,currency-bangladeshi,e101,,
,currency-bangladeshi-2,e100,,
,currency-dollar,e103,,
,currency-dollar-2,e102,,
,currency-euro,e105,,
,currency-euro-2,e104,,
,currency-pound,e107,,
,currency-pound-2,e106,,
,currency-rupee,e109,,
,currency-rupee-2,e108,,
,currency-yen,e10b,,
,currency-yen-2,e10a,,
,cursor-arrow-rays,e10d,,
,cursor-arrow-rays-2,e10c,,
,cursor-arrow-ripple,e10f,,
,cursor-arrow-ripple-2,e10e,,
,device-phone-mobile,e111,,
,device-phone-mobile-2,e110,,
,device-tablet,e113,,
,device-tablet-2,e112,,
,document,e125,,
,document-2,e114,,
,document-arrow-down,e116,,
,document-arrow-down-2,e115,,
,document-arrow-up,e118,,
,document-arrow-up-2,e117,,
,document-chart-bar,e11a,,
,document-chart-bar-2,e119,,
,document-check,e11c,,
,document-check-2,e11b,,
,document-duplicate,e11e,,
,document-duplicate-2,e11d,,
,document-magnifying-glass,e120,,
,document-magnifying-glass-2,e11f,,
,document-minus,e122,,
,document-minus-2,e121,,
,document-plus,e124,,
,document-plus-2,e123,,
,document-text,e127,,
,document-text-2,e126,,
,ellipsis-horizontal,e12b,,
,ellipsis-horizontal-2,e128,,
,ellipsis-horizontal-3,e129,,
,ellipsis-horizontal-4,e12a,,
,ellipsis-vertical,e12d,,
,ellipsis-vertical-2,e12c,,
,envelope,e131,,
,envelope-2,e12e,,
,envelope-open,e130,,
,envelope-open-2,e12f,,
,exclamation,e133,,
,exclamation-2,e132,,
,exclamation-triangle,e135,,
,exclamation-triangle-2,e134,,
,eye,e13b,,
,eye-2,e136,,
,eye-dropper,e138,,
,eye-dropper-2,e137,,
,eye-slash,e13a,,
,eye-slash-2,e139,,
,face-frown,e13d,,
,face-frown-2,e13c,,
,face-smile,e13f,,
,face-smile-2,e13e,,
,film,e141,,
,film-2,e140,,
,finger-print,e143,,
,finger-print-2,e142,,
,fire,e145,,
,fire-2,e144,,
,flag,e147,,
,flag-2,e146,,
,folder,e151,,
,folder-2,e148,,
,folder-arrow-down,e14a,,
,folder-arrow-down-2,e149,,
,folder-minus,e14c,,
,folder-minus-2,e14b,,
,folder-open,e14e,,
,folder-open-2,e14d,,
,folder-plus,e150,,
,folder-plus-2,e14f,,
,forward,e153,,
,forward-2,e152,,
,funnel,e155,,
,funnel-2,e154,,
,gif,e157,,
,gif-2,e156,,
,gift,e159,,
,gift-2,e158,,
,gift-top,e15b,,
,gift-top-2,e15a,,
,globe,e163,,
,globe-2,e15c,,
,globe-americas,e15e,,
,globe-americas-2,e15d,,
,globe-asia-australia,e160,,
,globe-asia-australia-2,e15f,,
,globe-europe-africa,e162,,
,globe-europe-africa-2,e161,,
,hand-raised,e165,,
,hand-raised-2,e164,,
,hand-thumb-down,e167,,
,hand-thumb-down-2,e166,,
,hand-thumb-up,e169,,
,hand-thumb-up-2,e168,,
,hashtag,e16b,,
,hashtag-2,e16a,,
,heart,e16d,,
,heart-2,e16c,,
,home,e171,,
,home-2,e16e,,
,home-modern,e170,,
,home-modern-2,e16f,,
,identification,e173,,
,identification-2,e172,,
,inbox,e179,,
,inbox-2,e174,,
,inbox-arrow-down,e176,,
,inbox-arrow-down-2,e175,,
,inbox-stack,e178,,
,inbox-stack-2,e177,,
,information,e17b,,
,information-2,e17a,,
,key,e17d,,
,key-2,e17c,,
,language,e17f,,
,language-2,e17e,,
,lifebuoy,e181,,
,lifebuoy-2,e180,,
,light-bulb,e183,,
,light-bulb-2,e182,,
,link,e185,,
,link-2,e184,,
,list-bullet,e187,,
,list-bullet-2,e186,,
,lock-closed,e189,,
,lock-closed-2,e188,,
,lock-open,e18b,,
,lock-open-2,e18a,,
,magnifying-glass,e193,,
,magnifying-glass-2,e18c,,
,magnifying-glass-3,e18d,,
,magnifying-glass-4,e18e,,
,magnifying-glass-minus,e190,,
,magnifying-glass-minus-2,e18f,,
,magnifying-glass-plus,e192,,
,magnifying-glass-plus-2,e191,,
,map,e197,,
,map-2,e194,,
,map-pin,e196,,
,map-pin-2,e195,,
,megaphone,e199,,
,megaphone-2,e198,,
,microphone,e19b,,
,microphone-2,e19a,,
,minus,e1a1,,
,minus-2,e19c,,
,minus-3,e19d,,
,minus-4,e19e,,
,minus-small,e1a0,,
,minus-small-2,e19f,,
,moon,e1a3,,
,moon-2,e1a2,,
,musical-note,e1a5,,
,musical-note-2,e1a4,,
,newspaper,e1a7,,
,newspaper-2,e1a6,,
,no-symbol,e1a9,,
,no-symbol-2,e1a8,,
,paint-brush,e1ab,,
,paint-brush-2,e1aa,,
,paper-airplane,e1ad,,
,paper-airplane-2,e1ac,,
,paper-clip,e1af,,
,paper-clip-2,e1ae,,
,pause,e1b3,,
,pause-2,e1b0,,
,pause-3,e1b1,,
,pause-4,e1b2,,
,pencil,e1b6,,
,pencil-2,e1b4,,
,pencil-3,e1b5,,
,phone,e1bc,,
,phone-2,e1b7,,
,phone-arrow-down-left,e1b9,,
,phone-arrow-down-left-2,e1b8,,
,phone-arrow-up-right,e1bb,,
,phone-arrow-up-right-2,e1ba,,
,phone-x-mark,e1be,,
,phone-x-mark-2,e1bd,,
,photo,e1c0,,
,photo-2,e1bf,,
,play,e1c6,,
,play-2,e1c1,,
,play-3,e1c2,,
,play-4,e1c3,,
,play-pause,e1c5,,
,play-pause-2,e1c4,,
,plus,e1cc,,
,plus-2,e1c7,,
,plus-3,e1c8,,
,plus-4,e1c9,,
,plus-small,e1cb,,
,plus-small-2,e1ca,,
,power,e1ce,,
,power-2,e1cd,,
,presentation-chart-bar,e1d0,,
,presentation-chart-bar-2,e1cf,,
,presentation-chart-line,e1d2,,
,presentation-chart-line-2,e1d1,,
,printer,e1d4,,
,printer-2,e1d3,,
,puzzle-piece,e1d6,,
,puzzle-piece-2,e1d5,,
,qr-code,e1d8,,
,qr-code-2,e1d7,,
,question-mark,e1da,,
,question-mark-2,e1d9,,
,queue-list,e1dc,,
,queue-list-2,e1db,,
,radio,e1de,,
,radio-2,e1dd,,
,receipt-percent,e1e0,,
,receipt-percent-2,e1df,,
,receipt-refund,e1e2,,
,receipt-refund-2,e1e1,,
,rectangle-group,e1e4,,
,rectangle-group-2,e1e3,,
,rectangle-stack,e1e6,,
,rectangle-stack-2,e1e5,,
,rocket-launch,e1e8,,
,rocket-launch-2,e1e7,,
,rss,e1ea,,
,rss-2,e1e9,,
,scale,e1ec,,
,scale-2,e1eb,,
,scissors,e1ee,,
,scissors-2,e1ed,,
,server,e1f2,,
,server-2,e1ef,,
,server-stack,e1f1,,
,server-stack-2,e1f0,,
,share,e1f4,,
,share-2,e1f3,,
,shield-check,e1f6,,
,shield-check-2,e1f5,,
,shield-exclamation,e1f8,,
,shield-exclamation-2,e1f7,,
,shopping-bag,e1fa,,
,shopping-bag-2,e1f9,,
,shopping-cart,e1fc,,
,shopping-cart-2,e1fb,,
,signal,e200,,
,signal-2,e1fd,,
,signal-slash,e1ff,,
,signal-slash-2,e1fe,,
,sparkles,e202,,
,sparkles-2,e201,,
,speaker-wave,e204,,
,speaker-wave-2,e203,,
,speaker-x-mark,e206,,
,speaker-x-mark-2,e205,,
,square-2-stack,e208,,
,square-2-stack-2,e207,,
,square-3-stack-3d,e20a,,
,square-3-stack-3d-2,e209,,
,squares-2x2,e20c,,
,squares-2x2-2,e20b,,
,squares-plus,e20e,,
,squares-plus-2,e20d,,
,star,e210,,
,star-2,e20f,,
,stop,e214,,
,stop-2,e211,,
,stop-3,e212,,
,stop-4,e213,,
,sun,e216,,
,sun-2,e215,,
,swatch,e218,,
,swatch-2,e217,,
,table-cells,e21a,,
,table-cells-2,e219,,
,tag,e21c,,
,tag-2,e21b,,
,ticket,e21e,,
,ticket-2,e21d,,
,trash,e220,,
,trash-2,e21f,,
,trophy,e222,,
,trophy-2,e221,,
,truck,e224,,
,truck-2,e223,,
,tv,e226,,
,tv-2,e225,,
,user,e232,,
,user-2,e227,,
,user-3,e228,,
,user-4,e229,,
,user-group,e22b,,
,user-group-2,e22a,,
,user-minus,e22d,,
,user-minus-2,e22c,,
,user-plus,e22f,,
,user-plus-2,e22e,,
,users,e231,,
,users-2,e230,,
,variable,e234,,
,variable-2,e233,,
,video-camera,e238,,
,video-camera-2,e235,,
,video-camera-slash,e237,,
,video-camera-slash-2,e236,,
,view-columns,e23a,,
,view-columns-2,e239,,
,viewfinder,e23c,,
,viewfinder-2,e23b,,
,wallet,e23e,,
,wallet-2,e23d,,
,wifi,e240,,
,wifi-2,e23f,,
,window,e242,,
,window-2,e241,,
,wrench,e246,,
,wrench-2,e243,,
,wrench-screwdriver,e245,,
,wrench-screwdriver-2,e244,,
,x,e24a,,
,x-2,e247,,
,x-mark,e249,,
,x-mark-2,e248,,
