G,Name,U+,Style,Tags
,edge,e10b,,
,editorconfig,e10c,,
,eiffel,e10d,,
,ejs,e10e,,
,electron,e10f,,
,elementaryos,e110,,
,elm,e111,,
,emacs,e112,,
,ember,e114,,
,emberscript,e113,,
,ensime,e115,,
,eq,e116,,
,esdoc,e117,,
,eslint,e119,,
,eslint-old,e118,,
,expo,e11b,,
,fabfile,e11c,,
,fabric,e11d,,
,factor,e11e,,
,falcon,e11f,,
,fancy,e120,,
,fantom,e121,,
,fauna,e122,,
,faust,e123,,
,fbx,e124,,
,fexl,e125,,
,ffmpeg,e126,,
,fiddle,e127,,
,figma,e128,,
,finaldraft,e129,,
,finder,e12a,,
,firebase,e12c,,
,firebase-bolt,e12b,,
,flask,e12d,,
,floobits,e12e,,
,flow,e12f,,
,flutter,e130,,
,flux,e131,,
,font,e135,,
,font-bitmap,e132,,
,fontforge,e133,,
,font-outline,e134,,
,fork,e136,,
,fortherecord,e137,,
,fortran,e138,,
,fossa,e139,,
,fossil,e13a,,
,fountain,e13b,,
,franca,e13c,,
,freedesktop,e13d,,
,freedos,e13e,,
,freemarker,e13f,,
,freemat,e140,,
,frege,e141,,
,fthtml,e142,,
,fuelux,e143,,
,fusebox,e144,,
,futhark,e145,,
,galaxy,e146,,
,galen,e147,,
,gamemaker,e148,,
,gams,e149,,
,gap,e14a,,
,gatsby,e14b,,
,gauss,e14c,,
,gdb,e14d,,
,genshi,e14e,,
,genstat,e14f,,
,gentoo,e150,,
,gf,e151,,
,ghostscript,e152,,
,gimp,e153,,
,gitlab,e154,,
,gitpod,e155,,
,glade,e156,,
,glide,e157,,
,gltf,e158,,
,glyphs,e159,,
,gn,e15a,,
,gnu,e15c,,
,gnuplot,e15b,,
,go,e162,,
,godot,e15d,,
,golo,e15e,,
,go-old,e15f,,
,goreleaser,e160,,
,gosu,e161,,
,gradle,e163,,
,grapher,e164,,
,graphite,e165,,
,graphql,e167,,
,graphql-codegenerator,e166,,
,graphviz,e168,,
,gravit-designer,e169,,
,greenkeeper,e16a,,
,gridsome,e16b,,
,groovy,e16c,,
,grunt,e16d,,
,gulp,e16e,,
,hack,e16f,,
,haml,e170,,
,harbour,e171,,
,hashicorp,e172,,
,haxe,e174,,
,haxedevelop,e173,,
,helix,e175,,
,hewlettpackard,e176,,
,hie,e177,,
,hitachi,e178,,
,hjson,e179,,
