G,Name,U+,Style,Tags
,ecommerce-cart-refresh,e0c5,,
,ecommerce-cart-remove,e0c6,,
,ecommerce-cart-search,e0c7,,
,ecommerce-cart-upload,e0c9,,
,ecommerce-cent,e0ca,,
,ecommerce-colon,e0cb,,
,ecommerce-creditcard,e0cc,,
,ecommerce-diamond,e0cd,,
,ecommerce-dollar,e0ce,,
,ecommerce-euro,e0cf,,
,ecommerce-franc,e0d0,,
,ecommerce-gift,e0d1,,
,ecommerce-graph1,e0d2,,
,ecommerce-graph2,e0d3,,
,ecommerce-graph3,e0d4,,
,ecommerce-graph-decrease,e0d5,,
,ecommerce-graph-increase,e0d6,,
,ecommerce-guarani,e0d7,,
,ecommerce-kips,e0d8,,
,ecommerce-lira,e0d9,,
,ecommerce-megaphone,e0da,,
,ecommerce-money,e0db,,
,ecommerce-naira,e0dc,,
,ecommerce-pesos,e0dd,,
,ecommerce-pound,e0de,,
,ecommerce-receipt,e0ec,,
,ecommerce-receipt-bath,e0df,,
,ecommerce-receipt-cent,e0e0,,
,ecommerce-receipt-dollar,e0e1,,
,ecommerce-receipt-euro,e0e2,,
,ecommerce-receipt-franc,e0e3,,
,ecommerce-receipt-guarani,e0e4,,
,ecommerce-receipt-kips,e0e5,,
,ecommerce-receipt-lira,e0e6,,
,ecommerce-receipt-naira,e0e7,,
,ecommerce-receipt-pesos,e0e8,,
,ecommerce-receipt-pound,e0e9,,
,ecommerce-receipt-rublo,e0ea,,
,ecommerce-receipt-rupee,e0eb,,
,ecommerce-receipt-tugrik,e0ed,,
,ecommerce-receipt-won,e0ee,,
,ecommerce-receipt-yen,e0f0,,
,ecommerce-receipt-yen2,e0ef,,
,ecommerce-recept-colon,e0f1,,
,ecommerce-rublo,e0f2,,
,ecommerce-rupee,e0f3,,
,ecommerce-safe,e0f4,,
,ecommerce-sale,e0f6,,
,ecommerce-sales,e0f5,,
,ecommerce-ticket,e0f7,,
,ecommerce-tugriks,e0f8,,
,ecommerce-wallet,e0f9,,
,ecommerce-won,e0fa,,
,ecommerce-yen,e0fc,,
,ecommerce-yen2,e0fb,,
,elaboration-bookmark-checck,e0fd,,
,elaboration-bookmark-minus,e0fe,,
,elaboration-bookmark-plus,e0ff,,
,elaboration-bookmark-remove,e100,,
,elaboration-briefcase-check,e101,,
,elaboration-briefcase-download,e102,,
,elaboration-briefcase-flagged,e103,,
,elaboration-briefcase-minus,e104,,
,elaboration-briefcase-plus,e105,,
,elaboration-briefcase-refresh,e106,,
,elaboration-briefcase-remove,e107,,
,elaboration-briefcase-search,e108,,
,elaboration-briefcase-star,e109,,
,elaboration-briefcase-upload,e10a,,
,elaboration-browser-check,e10b,,
,elaboration-browser-download,e10c,,
,elaboration-browser-minus,e10d,,
,elaboration-browser-plus,e10e,,
,elaboration-browser-refresh,e10f,,
,elaboration-browser-remove,e110,,
