G,Name,U+,Style,Tags
,distribute-horizontal,e0ee,,
,distribute-vertical,e0ef,,
,dock-bottom,e0f0,,
,dock-left,e0f1,,
,dock-right,e0f2,,
,dock-window,e0f3,,
,dolby,e0f4,,
,dollar,e0f5,,
,dribbble,e0f6,,
,drive,e0f7,,
,drop,e0fa,,
,drop-invert,e0f8,,
,drop-opacity,e0f9,,
,duplicate,e0fb,,
,edit-black-point,e0fc,,
,edit-contrast,e0fd,,
,edit-exposure,e0fe,,
,edit-fade,e0ff,,
,edit-flip-h,e100,,
,edit-flip-v,e101,,
,edit-highlight,e102,,
,edit-markup,e103,,
,edit-mask,e104,,
,edit-noise,e105,,
,edit-shadows,e106,,
,edit-straight,e107,,
,edit-unmask,e108,,
,eject,e109,,
,enter,e10a,,
,erase,e10b,,
,ereader,e10c,,
,ericsson,e10d,,
,ethernet,e10e,,
,euro,e10f,,
,eventbrite,e110,,
,expand,e111,,
,export,e112,,
,extension,e116,,
,extension-2,e113,,
,extension-add,e114,,
,extension-remove,e115,,
,external,e117,,
,eye,e119,,
,eye-2,e118,,
,facebook,e11a,,
,feed,e11b,,
,figma,e11c,,
,file,e120,,
,file-add,e11d,,
,file-document,e11e,,
,file-remove,e11f,,
,film,e121,,
,filters,e122,,
,flag,e124,,
,flag-2,e123,,
,folder,e127,,
,folder-add,e125,,
,folder-remove,e126,,
,font-height,e128,,
,font-spacing,e129,,
,format-bold,e12a,,
,format-center,e12b,,
,format-color,e12c,,
,format-heading,e12d,,
,format-indent-decrease,e12e,,
,format-indent-increase,e12f,,
,format-italic,e130,,
,format-justify,e131,,
,format-left,e132,,
,format-line-height,e133,,
,format-right,e134,,
,format-separator,e135,,
,format-slash,e136,,
,format-strike,e137,,
,format-text,e138,,
,format-underline,e139,,
,format-uppercase,e13a,,
,framer,e13b,,
,games,e13c,,
,gender-female,e13d,,
,gender-male,e13e,,
,ghost,e140,,
,ghost-character,e13f,,
,gift,e141,,
,girl,e142,,
,git-branch,e143,,
,git-commit,e144,,
,git-fork,e145,,
,git-pull,e146,,
,gitter,e147,,
,glass,e149,,
,glass-2,e148,,
,globe,e14b,,
,globe-2,e14a,,
,google,e14c,,
,google-tasks,e14d,,
,gym,e14e,,
,hashtag,e14f,,
,headset,e150,,
,heart,e151,,
,hello,e152,,
,home,e155,,
,home-2,e153,,
,home-screen,e154,,
,icecream,e156,,
,if-design,e157,,
,image,e158,,
,import,e159,,
,inbox,e15a,,
,indie-hackers,e15b,,
,infinity,e15c,,
,info,e15d,,
,inpicture,e15e,,
,insert-after,e161,,
,insert-after-o,e15f,,
,insert-after-r,e160,,
,insert-before,e164,,
,insert-before-o,e162,,
,insert-before-r,e163,,
,insights,e165,,
,instagram,e166,,
,internal,e167,,
,key,e16a,,
,keyboard,e168,,
,keyhole,e169,,
,laptop,e16b,,
,lastpass,e16c,,
,layout-grid,e16e,,
,layout-grid-small,e16d,,
,layout-list,e16f,,
,layout-pin,e170,,
,linear,e171,,
,link,e172,,
,list,e173,,
,list-tree,e174,,
,live-photo,e175,,
,loadbar,e178,,
,loadbar-doc,e176,,
,loadbar-sound,e177,,
,lock,e179,,
,lock-unlock,e17a,,
,log-in,e17b,,
,log-off,e17c,,
,log-out,e17d,,
,loupe,e17e,,
,magnet,e17f,,
,mail,e183,,
,mail-forward,e180,,
,mail-open,e181,,
,mail-reply,e182,,
,math-divide,e184,,
,math-equal,e185,,
