G,Name,U+,Style,Tags
,calendar-star,e0f9,,
,calendar-star-2,e0f8,,
,calendar-week,e0fc,,
,calendar-week-2,e0fb,,
,calendar-x,e0fe,,
,calendar-x-2,e0fd,,
,camera,e107,,
,camera-2,e0ff,,
,camera-home,e101,,
,camera-home-2,e100,,
,camera-movie,e103,,
,camera-movie-2,e102,,
,camera-off,e105,,
,camera-off-2,e104,,
,camera-plus,e106,,
,candles,e108,,
,capsule,e10a,,
,capsule-2,e109,,
,captions,e10c,,
,captions-2,e10b,,
,car,e12a,,
,car-2,e10d,,
,car-battery,e10e,,
,car-crash,e10f,,
,card,e111,,
,card-2,e110,,
,caret-down,e116,,
,caret-down-circle,e113,,
,caret-down-circle-2,e112,,
,caret-down-square,e115,,
,caret-down-square-2,e114,,
,caret-left,e11b,,
,caret-left-circle,e118,,
,caret-left-circle-2,e117,,
,caret-left-square,e11a,,
,caret-left-square-2,e119,,
,caret-right,e120,,
,caret-right-circle,e11d,,
,caret-right-circle-2,e11c,,
,caret-right-square,e11f,,
,caret-right-square-2,e11e,,
,caret-up,e125,,
,caret-up-circle,e122,,
,caret-up-circle-2,e121,,
,caret-up-square,e124,,
,caret-up-square-2,e123,,
,car-garage,e126,,
,car-mechanic,e127,,
,carousel,e129,,
,carousel-2,e128,,
,cart,e132,,
,cart-2,e12b,,
,cart-3,e12c,,
,cart-4,e12d,,
,cart-add,e12f,,
,cart-add-2,e12e,,
,cart-download,e131,,
,cart-download-2,e130,,
,car-wash,e133,,
,cast,e135,,
,castle,e134,,
,cat,e13a,,
,category,e139,,
,category-2,e136,,
,category-3,e137,,
,category-4,e138,,
,cctv,e13c,,
,cctv-2,e13b,,
,certification,e13e,,
,certification-2,e13d,,
,chair,e13f,,
,chalkboard,e141,,
,chalkboard-2,e140,,
,chart,e143,,
,chart-2,e142,,
,chat,e145,,
,chat-2,e144,,
,check,e154,,
,checkbox,e14c,,
,checkbox-2,e146,,
,checkbox-checked,e148,,
,checkbox-checked-2,e147,,
,checkbox-minus,e14a,,
,checkbox-minus-2,e149,,
,checkbox-square,e14b,,
,check-circle,e14e,,
,check-circle-2,e14d,,
,check-double,e14f,,
,check-shield,e151,,
,check-shield-2,e150,,
,check-square,e153,,
,check-square-2,e152,,
,cheese,e156,,
,cheese-2,e155,,
,chess,e157,,
,chevron-down,e15d,,
,chevron-down-2,e158,,
,chevron-down-circle,e15a,,
,chevron-down-circle-2,e159,,
,chevron-down-square,e15c,,
,chevron-down-square-2,e15b,,
,chevron-left,e163,,
,chevron-left-2,e15e,,
,chevron-left-circle,e160,,
,chevron-left-circle-2,e15f,,
,chevron-left-square,e162,,
,chevron-left-square-2,e161,,
,chevron-right,e169,,
,chevron-right-2,e164,,
,chevron-right-circle,e166,,
,chevron-right-circle-2,e165,,
,chevron-right-square,e168,,
,chevron-right-square-2,e167,,
,chevrons-down,e16b,,
,chevrons-down-2,e16a,,
,chevrons-left,e16d,,
,chevrons-left-2,e16c,,
,chevrons-right,e16f,,
,chevrons-right-2,e16e,,
,chevrons-up,e171,,
,chevrons-up-2,e170,,
,chevron-up,e177,,
,chevron-up-2,e172,,
,chevron-up-circle,e174,,
,chevron-up-circle-2,e173,,
,chevron-up-square,e176,,
,chevron-up-square-2,e175,,
,child,e178,,
,chip,e17a,,
,chip-2,e179,,
,church,e17c,,
,church-2,e17b,,
,circle,e182,,
,circle-2,e17d,,
,circle-half,e17f,,
,circle-half-2,e17e,,
,circle-quarter,e181,,
,circle-quarter-2,e180,,
,circle-three-quarter,e184,,
,circle-three-quarter-2,e183,,
,city,e185,,
,clinic,e187,,
,clinic-2,e186,,
,clipboard,e188,,
,closet,e189,,
,cloud,e194,,
,cloud-2,e18a,,
,cloud-download,e18c,,
,cloud-download-2,e18b,,
,cloud-drizzle,e18d,,
,cloud-lightning,e18f,,
,cloud-lightning-2,e18e,,
,cloud-light-rain,e190,,
,cloud-rain,e192,,
,cloud-rain-2,e191,,
,cloud-snow,e193,,
,cloud-upload,e196,,
,cloud-upload-2,e195,,
,code,e19a,,
,code-2,e197,,
,code-block,e198,,
,code-curly,e199,,
,coffee,e19e,,
,coffee-2,e19b,,
,coffee-3,e19c,,
,coffee-bean,e19d,,
,coffee-togo,e1a0,,
,coffee-togo-2,e19f,,
,cog,e1a2,,
,cog-2,e1a1,,
,coin,e1a6,,
,coin-2,e1a3,,
,coin-stack,e1a5,,
,coin-stack-2,e1a4,,
,collapse,e1a9,,
,collapse-2,e1a7,,
,collapse-horizontal,e1a8,,
,collapse-vertical,e1aa,,
,collection,e1ac,,
,collection-2,e1ab,,
,color,e1b0,,
,color-2,e1ad,,
,color-fill,e1af,,
,color-fill-2,e1ae,,
,columns,e1b1,,
,command,e1b2,,
,comment,e1c2,,
,comment-2,e1b3,,
,comment-add,e1b5,,
,comment-add-2,e1b4,,
,comment-check,e1b7,,
,comment-check-2,e1b6,,
,comment-detail,e1b9,,
,comment-detail-2,e1b8,,
,comment-dots,e1bb,,
,comment-dots-2,e1ba,,
,comment-edit,e1bd,,
,comment-edit-2,e1bc,,
,comment-error,e1bf,,
,comment-error-2,e1be,,
,comment-minus,e1c1,,
,comment-minus-2,e1c0,,
,comment-x,e1c4,,
,comment-x-2,e1c3,,
,compass,e1c6,,
,compass-2,e1c5,,
,component,e1c7,,
,confused,e1c9,,
,confused-2,e1c8,,
,contact,e1ca,,
,conversation,e1cc,,
,conversation-2,e1cb,,
,cookie,e1ce,,
,cookie-2,e1cd,,
,cool,e1d0,,
,cool-2,e1cf,,
,copy,e1d6,,
,copy-2,e1d1,,
,copy-3,e1d2,,
,copy-4,e1d3,,
,copyright,e1d5,,
,copyright-2,e1d4,,
,coupon,e1d7,,
,credit-card,e1dd,,
,credit-card-2,e1d8,,
,credit-card-3,e1d9,,
,credit-card-4,e1da,,
,credit-card-front,e1dc,,
,credit-card-front-2,e1db,,
,cricket-ball,e1df,,
,cricket-ball-2,e1de,,
,crop,e1e1,,
,crop-2,e1e0,,
,cross,e1e3,,
,crosshair,e1e2,,
,crown,e1e5,,
,crown-2,e1e4,,
,cube,e1e9,,
,cube-2,e1e6,,
,cube-3,e1e7,,
,cube-4,e1e8,,
,cuboid,e1eb,,
,cuboid-2,e1ea,,
,current-location,e1ec,,
,customize,e1ee,,
,customize-2,e1ed,,
,cut,e1ef,,
,cycling,e1f0,,
,cylinder,e1f2,,
,cylinder-2,e1f1,,
,dashboard,e1f3,,
,data,e1f5,,
,data-2,e1f4,,
,desktop,e1f6,,
,detail,e1f8,,
,detail-2,e1f7,,
,devices,e1fa,,
,devices-2,e1f9,,
,dialpad,e1fc,,
,dialpad-2,e1fb,,
,diamond,e1fe,,
,diamond-2,e1fd,,
,dice-1,e200,,
,dice-1-2,e1ff,,
,dice-2,e202,,
,dice-2-2,e201,,
,dice-3,e204,,
,dice-3-2,e203,,
,dice-4,e206,,
,dice-4-2,e205,,
,dice-5,e208,,
,dice-5-2,e207,,
,dice-6,e20a,,
,dice-6-2,e209,,
,direction-left,e20b,,
,direction-right,e20c,,
,directions,e20e,,
,directions-2,e20d,,
,disc,e211,,
,disc-2,e20f,,
,discount,e210,,
,dish,e213,,
,dish-2,e212,,
,dislike,e215,,
,dislike-2,e214,,
,dizzy,e217,,
,dizzy-2,e216,,
,dna,e218,,
,dock-bottom,e21a,,
,dock-bottom-2,e219,,
,dock-left,e21c,,
,dock-left-2,e21b,,
,dock-right,e21e,,
,dock-right-2,e21d,,
,dock-top,e220,,
,dock-top-2,e21f,,
,dog,e221,,
,dollar,e224,,
,dollar-circle,e223,,
,dollar-circle-2,e222,,
,donate-blood,e226,,
,donate-blood-2,e225,,
,donate-heart,e228,,
,donate-heart-2,e227,,
,door-open,e22a,,
,door-open-2,e229,,
,dots-horizontal,e22c,,
,dots-horizontal-rounded,e22b,,
,dots-vertical,e22e,,
,dots-vertical-rounded,e22d,,
,doughnut-chart,e230,,
,doughnut-chart-2,e22f,,
,down-arrow,e237,,
,down-arrow-2,e231,,
,down-arrow-3,e232,,
,down-arrow-4,e233,,
,down-arrow-circle,e235,,
,down-arrow-circle-2,e234,,
,down-arrow-square,e236,,
,download,e239,,
,download-2,e238,,
,downvote,e23b,,
,downvote-2,e23a,,
,drink,e23d,,
,drink-2,e23c,,
,droplet,e240,,
,droplet-2,e23e,,
,droplet-half,e23f,,
,dryer,e241,,
,dumbbell,e242,,
,duplicate,e244,,
,duplicate-2,e243,,
,edit,e249,,
,edit-2,e245,,
,edit-3,e246,,
,edit-4,e247,,
,edit-location,e248,,
,eject,e24a,,
,envelope,e24e,,
,envelope-2,e24b,,
,envelope-open,e24d,,
,envelope-open-2,e24c,,
,equalizer,e24f,,
,eraser,e251,,
,eraser-2,e250,,
,error,e257,,
,error-2,e252,,
,error-3,e253,,
,error-4,e254,,
,error-circle,e256,,
,error-circle-2,e255,,
,euro,e258,,
,ev-station,e259,,
,exclude,e25a,,
,exit,e25d,,
,exit-2,e25b,,
,exit-fullscreen,e25c,,
,expand,e260,,
,expand-2,e25e,,
,expand-horizontal,e25f,,
,expand-vertical,e261,,
,export,e262,,
,extension,e264,,
,extension-2,e263,,
,eyedropper,e265,,
,face,e268,,
,face-2,e266,,
,face-mask,e267,,
,factory,e269,,
,fast-forward,e26c,,
,fast-forward-circle,e26b,,
,fast-forward-circle-2,e26a,,
,female,e26e,,
,female-sign,e26d,,
,file,e283,,
,file-2,e26f,,
,file-archive,e270,,
,file-blank,e272,,
,file-blank-2,e271,,
,file-css,e273,,
,file-doc,e274,,
,file-export,e275,,
,file-find,e277,,
,file-find-2,e276,,
,file-gif,e278,,
,file-html,e279,,
,file-image,e27a,,
,file-import,e27b,,
,file-jpg,e27c,,
,file-js,e27e,,
,file-json,e27d,,
,file-md,e27f,,
,file-pdf,e280,,
,file-plus,e281,,
,file-png,e282,,
,file-txt,e284,,
,film,e286,,
,film-2,e285,,
,filter,e289,,
,filter-2,e287,,
,filter-3,e288,,
,fingerprint,e28a,,
,first-aid,e28c,,
,first-aid-2,e28b,,
,first-page,e28d,,
,flag,e291,,
,flag-2,e28e,,
,flag-3,e28f,,
,flag-checkered,e290,,
,flame,e292,,
,flask,e293,,
,florist,e294,,
,folder,e29c,,
,folder-2,e295,,
,folder-minus,e297,,
,folder-minus-2,e296,,
,folder-open,e299,,
,folder-open-2,e298,,
,folder-plus,e29b,,
,folder-plus-2,e29a,,
,font,e2a0,,
,font-color,e29d,,
,font-family,e29e,,
,font-size,e29f,,
,food-menu,e2a2,,
,food-menu-2,e2a1,,
,food-tag,e2a3,,
,football,e2a4,,
,fork,e2a5,,
,fridge,e2a7,,
,fridge-2,e2a6,,
,fullscreen,e2a8,,
,game,e2aa,,
,game-2,e2a9,,
,gas-pump,e2ac,,
,gas-pump-2,e2ab,,
,ghost,e2ae,,
,ghost-2,e2ad,,
,gift,e2b0,,
,gift-2,e2af,,
,git-branch,e2b1,,
,git-commit,e2b2,,
,git-compare,e2b3,,
,git-merge,e2b4,,
,git-pull-request,e2b5,,
,git-repo-forked,e2b6,,
,glasses,e2b8,,
,glasses-2,e2b7,,
,globe,e2ba,,
,globe-2,e2b9,,
,graduation,e2bb,,
,grid,e2c1,,
,grid-2,e2bc,,
,grid-3,e2bd,,
,grid-4,e2be,,
,grid-horizontal,e2bf,,
,grid-small,e2c0,,
,grid-vertical,e2c2,,
,group,e2c4,,
,group-2,e2c3,,
,guitar-amp,e2c5,,
,hand,e2ca,,
,hand-down,e2c6,,
,handicap,e2c7,,
,hand-left,e2c8,,
,hand-right,e2c9,,
,hand-up,e2cb,,
,happy,e2d3,,
,happy-2,e2cc,,
,happy-3,e2cd,,
,happy-4,e2ce,,
,happy-beaming,e2d0,,
,happy-beaming-2,e2cf,,
,happy-heart-eyes,e2d2,,
,happy-heart-eyes-2,e2d1,,
,hard-hat,e2d5,,
,hard-hat-2,e2d4,,
,hash,e2d6,,
,hdd,e2d8,,
,hdd-2,e2d7,,
,heading,e2d9,,
,headphone,e2da,,
,health,e2db,,
,heart,e2e1,,
,heart-2,e2dc,,
,heart-circle,e2de,,
,heart-circle-2,e2dd,,
,heart-square,e2e0,,
,heart-square-2,e2df,,
,help-circle,e2e3,,
,help-circle-2,e2e2,,
,hide,e2e5,,
,hide-2,e2e4,,
,highlight,e2e6,,
,history,e2e7,,
,hive,e2e8,,
,home,e2f3,,
,home-2,e2ea,,
,home-2-2,e2e9,,
,home-3,e2eb,,
,home-4,e2ec,,
,home-circle,e2ee,,
,home-circle-2,e2ed,,
,home-heart,e2f0,,
,home-heart-2,e2ef,,
,home-smile,e2f2,,
,home-smile-2,e2f1,,
,horizontal-center,e2f4,,
,horizontal-left,e2f5,,
