G,Name,U+,Style,Tags
,file-add,e103,,
,file-code,e104,,
,file-font,e105,,
,file-movie,e106,,
,file-picture,e107,,
,file-presentation,e108,,
,file-process,e109,,
,file-refresh,e10a,,
,file-remove,e10b,,
,file-search,e10c,,
,file-sound,e10d,,
,file-start,e10e,,
,file-table,e110,,
,file-text,e112,,
,file-text-2,e111,,
,file-tree,e115,,
,file-tree-small,e113,,
,file-tree-sub,e114,,
,file-zip,e116,,
,fill,e117,,
,film,e118,,
,filter,e119,,
,fire,e11a,,
,flag,e11d,,
,flag-2,e11b,,
,flag-checkered,e11c,,
,flash,e11e,,
,flask,e11f,,
,flight-landing,e120,,
,flight-takeoff,e121,,
,flip-h,e122,,
,flip-v,e123,,
,folder,e12a,,
,folder-2,e124,,
,folder-add,e125,,
,folder-open,e127,,
,folder-open-2,e126,,
,folder-remove,e128,,
,folder-search,e129,,
,font,e12b,,
,form,e12c,,
,forward,e12d,,
,frown,e12e,,
,funcion,e12f,,
,funnel,e130,,
,gamepad,e131,,
,gavel,e132,,
,gift,e133,,
,glass,e135,,
,glasses,e134,,
,globe,e136,,
,globe-wire,e137,,
,golf,e138,,
,google-plus,e13a,,
,google-plus-2,e139,,
,grab,e13b,,
,grid,e142,,
,grid-bevel,e13c,,
,grid-big,e13e,,
,grid-big-2,e13d,,
,grid-h,e13f,,
,grid-small,e141,,
,grid-small-2,e140,,
,grid-v,e143,,
,group,e144,,
,hammer,e145,,
,hand,e149,,
,handle-corner,e146,,
,handshake,e147,,
,hands-up,e148,,
,harddrive,e14b,,
,harddrive-2,e14a,,
,hash,e14c,,
,header,e14d,,
,headphones,e14e,,
,headset,e14f,,
,health-card,e150,,
,heart,e152,,
,heart-2,e151,,
,home,e154,,
,home-2,e153,,
,hospital,e155,,
,hourglass,e159,,
,hourglass-empty,e156,,
,hourglass-end,e157,,
,hourglass-start,e158,,
,inbox,e15a,,
,indent,e15b,,
,info,e15e,,
,info-2,e15c,,
,info-3,e15d,,
,input,e15f,,
,insert,e160,,
,institution,e161,,
,invoice,e162,,
,italic,e163,,
,key,e167,,
,key-2,e164,,
,keyboard,e166,,
,keyboard-2,e165,,
,laptop,e168,,
,layout,e169,,
,level-down,e16b,,
,level-down-bold,e16a,,
,level-left,e16d,,
,level-left-bold,e16c,,
,level-right,e16f,,
,level-right-bold,e16e,,
,level-up,e171,,
,level-up-bold,e170,,
,lifebuoy,e172,,
,lightbulb,e173,,
,line-bar-chart,e174,,
,line-chart,e175,,
,line-h,e176,,
,lines,e178,,
,lines-list,e177,,
,line-v,e179,,
,link,e17a,,
,list,e17d,,
,list-ol,e17b,,
,list-select,e17c,,
,list-ul,e17e,,
,location-arrow,e181,,
,location-arrow-2,e17f,,
,location-arrow-3,e180,,
,lock,e182,,
,magic,e183,,
,magnet,e184,,
,mailbox,e185,,
,male,e186,,
,map-marker,e187,,
,margin,e18b,,
,margin-bottom,e188,,
,margin-left,e189,,
,margin-right,e18a,,
,margin-top,e18c,,
,medal,e18d,,
,megafone,e18e,,
,meh,e18f,,
,menu,e190,,
,microphone,e191,,
,minus,e195,,
,minus-2,e193,,
,minus-2-2,e192,,
,minus-3,e194,,
,mobile,e198,,
,mobile-browser,e196,,
,mobile-retro,e197,,
,modal,e19a,,
,modal-list,e199,,
,money,e19d,,
,money-deposit,e19b,,
,money-exchange,e19c,,
,money-withdraw,e19e,,
,moon,e1a0,,
,moon-2,e19f,,
,morning,e1a1,,
,movie,e1a2,,
,music,e1a3,,
,mute,e1a4,,
,native-button,e1a5,,
,newspaper,e1a6,,
,notebook,e1a7,,
,nurse,e1a8,,
,office,e1a9,,
,open-book,e1aa,,
,option,e1ad,,
,option-a,e1ab,,
,options,e1ac,,
,orientation,e1ae,,
,out,e1b0,,
,outbox,e1af,,
,package,e1b1,,
,padding,e1b5,,
,padding-bottom,e1b2,,
,padding-left,e1b3,,
,padding-right,e1b4,,
,padding-top,e1b6,,
,paintbrush,e1b7,,
,paint-roll,e1b8,,
,palete,e1b9,,
,panel,e1ba,,
,paperclip,e1bb,,
,paperplane,e1bd,,
,paperplane-2,e1bc,,
,paragraph,e1be,,
,password,e1bf,,
,paste,e1c0,,
,pause,e1c1,,
,pencil,e1c2,,
,phone,e1c4,,
,phone-landline,e1c3,,
,picture,e1c5,,
,pie-bar-chart,e1c6,,
,pie-chart,e1c7,,
,piggy-bank,e1c9,,
,piggy-bank-coin,e1c8,,
,pill,e1cb,,
,pills,e1ca,,
,pin,e1cd,,
,pin-post,e1cc,,
,play,e1d0,,
,play-2,e1ce,,
,play-o-2,e1cf,,
,plug,e1d1,,
,plus,e1d6,,
,plus-2,e1d3,,
,plus-2-2,e1d2,,
,plus-3,e1d4,,
,plus-minus,e1d5,,
,pointer,e1d7,,
,power-off,e1d8,,
,presentation,e1d9,,
,print,e1da,,
,progressbar,e1db,,
,puzzle-piece,e1dc,,
,pyramid-chart,e1dd,,
,qrcode,e1de,,
,question,e1e1,,
,question-2,e1df,,
,question-3,e1e0,,
,quote-left,e1e2,,
,quote-right,e1e3,,
,random,e1e4,,
,raster,e1e6,,
,raster-lower-left,e1e5,,
,records,e1e7,,
,recycle,e1e8,,
,refresh,e1e9,,
,reply,e1eb,,
,reply-all,e1ea,,
,resize-h,e1ec,,
,resize-v,e1ed,,
,retweet,e1ee,,
,rhombus,e1ef,,
,road,e1f3,,
,road-branch,e1f1,,
,road-branches,e1f0,,
,road-split,e1f2,,
,rocket,e1f4,,
,rotate-left,e1f5,,
,rotate-right,e1f6,,
,rss,e1f8,,
,rss-2,e1f7,,
,safe,e1fa,,
,safe-lock,e1f9,,
,scale,e1fb,,
,scale-unbalance,e1fc,,
,scatter-chart,e1fd,,
,scissors,e1fe,,
,screwdriver,e1ff,,
,search,e202,,
,search-minus,e200,,
,search-plus,e201,,
,select,e203,,
,server,e204,,
,share,e206,,
,share-2,e205,,
,shield,e207,,
,shift,e209,,
,shift-arrow,e208,,
,shop,e20a,,
,signal,e20b,,
,sign-in,e20d,,
,sign-in-2,e20c,,
,sign-out,e20f,,
,sign-out-2,e20e,,
,sitemap,e210,,
,slider,e212,,
,sliders,e211,,
,smiley,e213,,
,sort,e214,,
,sound-disable,e215,,
,spark-line,e216,,
,specialist,e217,,
,spinner,e219,,
,spinner-arc,e218,,
,spinner-third,e21a,,
,spline-area-chart,e21b,,
,spline-chart,e21c,,
,split,e21e,,
,split-h,e21d,,
,split-v,e21f,,
,spoon,e220,,
,square,e222,,
,square-shadow,e221,,
,star,e228,,
,star-2,e223,,
,star-half-left,e225,,
,star-half-left-2,e224,,
,star-half-right,e227,,
,star-half-right-2,e226,,
,start-cog,e229,,
,step-backward,e22a,,
,step-forward,e22b,,
,stethoscope,e22c,,
,stock,e22d,,
,stop,e22f,,
,stop-cog,e22e,,
,stopwatch,e230,,
,storage,e231,,
,strikethrough,e232,,
,subscript,e233,,
,suitcase,e234,,
,sun,e237,,
,sun-down,e235,,
,sun-rise,e236,,
,superscript,e238,,
,sword,e239,,
,tab,e23e,,
,tab-a,e23a,,
,table,e23b,,
,tablet,e23c,,
,tabs,e23d,,
,tag,e240,,
,tags,e23f,,
,tasks,e241,,
,taxi,e242,,
,teeth,e243,,
,terminal,e244,,
,text-height,e245,,
,text-input,e246,,
,text-label,e247,,
,text-width,e248,,
,thumbs-down,e24a,,
,thumbs-down-2,e249,,
,thumbs-up,e24c,,
,thumbs-up-2,e24b,,
,ticket,e24d,,
,time-backward,e24e,,
,time-forward,e24f,,
,timer,e250,,
,toolbox,e251,,
,tools,e252,,
,tooth,e253,,
,touch,e254,,
,train,e255,,
,trash,e256,,
,tree-table,e257,,
,trendind-down,e258,,
,trending-up,e259,,
,trophy,e25a,,
,truck,e25b,,
,twin-col-select,e25c,,
,twitter,e25e,,
,twitter-2,e25d,,
,umbrella,e25f,,
,underline,e260,,
,unlink,e261,,
,unlock,e262,,
,upload,e264,,
,upload-2,e263,,
,user,e26b,,
,user-card,e265,,
,user-check,e266,,
,user-clock,e267,,
,user-heart,e268,,
,users,e269,,
,user-star,e26a,,
,vaadin-h,e26c,,
