G,Name,U+,Style,Tags
,payx,e138,,
,pink,e139,,
,pirl,e13a,,
,pivx,e13b,,
,plr,e13c,,
,poa,e13d,,
,poe,e13e,,
,polis,e13f,,
,poly,e140,,
,pot,e141,,
,powr,e142,,
,ppc,e143,,
,ppp,e144,,
,ppt,e145,,
,pre,e146,,
,prl,e147,,
,pungo,e148,,
,pura,e149,,
,qash,e14a,,
,qiwi,e14b,,
,qlc,e14c,,
,qnt,e14d,,
,qrl,e14e,,
,qsp,e14f,,
,qtum,e150,,
,r,e160,,
,rads,e151,,
,rap,e152,,
,ray,e153,,
,rcn,e154,,
,rdd,e155,,
,rdn,e156,,
,ren,e157,,
,rep,e158,,
,repv2,e159,,
,req,e15a,,
,rhoc,e15b,,
,ric,e15c,,
,rise,e15d,,
,rlc,e15e,,
,rpx,e15f,,
,rub,e161,,
,rvn,e162,,
,ryo,e163,,
,safe,e165,,
,safemoon,e164,,
,sai,e166,,
,salt,e167,,
,san,e169,,
,sand,e168,,
,sbd,e16a,,
,sberbank,e16b,,
,sc,e16c,,
,ser,e16d,,
,shift,e16e,,
,sib,e16f,,
,sin,e170,,
,skl,e171,,
,sky,e172,,
,slr,e173,,
,sls,e174,,
,smart,e175,,
,sngls,e176,,
,snm,e177,,
,snt,e178,,
,snx,e179,,
,soc,e17a,,
,sol,e17b,,
,spacehbit,e17c,,
,spank,e17d,,
,sphtx,e17e,,
,srn,e17f,,
,stak,e180,,
,start,e181,,
,steem,e182,,
,storj,e183,,
,storm,e184,,
,stox,e185,,
,stq,e186,,
,strat,e187,,
,stx,e188,,
,sub,e189,,
,sumo,e18a,,
,sushi,e18b,,
,sys,e18c,,
,taas,e18d,,
,tau,e18e,,
,tbx,e18f,,
,tel,e190,,
,ten,e191,,
,tern,e192,,
,tgch,e193,,
,theta,e194,,
,tix,e195,,
,tkn,e196,,
,tks,e197,,
,tnb,e198,,
,tnc,e199,,
,tnt,e19a,,
,tomo,e19b,,
,tpay,e19c,,
,trig,e19d,,
,trtl,e19e,,
,trx,e19f,,
,tusd,e1a0,,
,tzc,e1a1,,
,ubq,e1a2,,
,uma,e1a3,,
,uni,e1a4,,
,unity,e1a5,,
,usd,e1a7,,
,usdc,e1a6,,
,usdt,e1a8,,
,utk,e1a9,,
,veri,e1aa,,
,vet,e1ab,,
,via,e1ac,,
,vib,e1ae,,
,vibe,e1ad,,
,vivo,e1af,,
,vrc,e1b0,,
,vrsc,e1b1,,
,vtc,e1b2,,
,vtho,e1b3,,
,wabi,e1b4,,
,wan,e1b5,,
,waves,e1b6,,
,wax,e1b7,,
,wbtc,e1b8,,
,wgr,e1b9,,
,wicc,e1ba,,
,wings,e1bb,,
,wpr,e1bc,,
,wtc,e1bd,,
,x,e1d2,,
,xas,e1be,,
,xbc,e1bf,,
,xbp,e1c0,,
,xby,e1c1,,
,xcp,e1c2,,
,xdn,e1c3,,
,xem,e1c4,,
,xin,e1c5,,
,xlm,e1c6,,
,xmcc,e1c7,,
,xmg,e1c8,,
,xmo,e1c9,,
,xmr,e1ca,,
,xmy,e1cb,,
,xp,e1cf,,
,xpa,e1cc,,
,xpm,e1cd,,
,xpr,e1ce,,
,xrp,e1d0,,
,xsg,e1d1,,
,xtz,e1d3,,
,xuc,e1d4,,
,xvc,e1d5,,
,xvg,e1d6,,
,xzc,e1d7,,
,yfi,e1d8,,
,yoyow,e1d9,,
,zcl,e1da,,
,zec,e1db,,
,zel,e1dc,,
,zen,e1dd,,
,zest,e1de,,
,zil,e1e0,,
,zilla,e1df,,
,zrx,e1e1,,
