G,Name,U+,Style,Tags
,heart,e0f4,,
,heart-2,e0f3,,
,home,e0f6,,
,home-2,e0f5,,
,image,e0f9,,
,image-2,e0f7,,
,image-3,e0f8,,
,inbox,e0fb,,
,inbox-2,e0fa,,
,info,e0fd,,
,info-2,e0fc,,
,keypad,e0ff,,
,keypad-2,e0fe,,
,layers,e101,,
,layers-2,e100,,
,layout,e103,,
,layout-2,e102,,
,link,e109,,
,link-2,e105,,
,link-2-2,e104,,
,link-3,e106,,
,linkedin,e108,,
,linkedin-2,e107,,
,list,e10b,,
,list-2,e10a,,
,loader,e10c,,
,lock,e10e,,
,lock-2,e10d,,
,log-in,e110,,
,log-in-2,e10f,,
,log-out,e112,,
,log-out-2,e111,,
,map,e114,,
,map-2,e113,,
,maximize,e116,,
,maximize-2,e115,,
,menu,e11c,,
,menu-2,e118,,
,menu-2-2,e117,,
,menu-3,e119,,
,menu-arrow,e11b,,
,menu-arrow-2,e11a,,
,message-2,e11e,,
,message-2-2,e11d,,
,message-square,e120,,
,message-square-2,e11f,,
,mic,e124,,
,mic-2,e121,,
,mic-off,e123,,
,mic-off-2,e122,,
,minimize,e126,,
,minimize-2,e125,,
,minus,e12c,,
,minus-2,e128,,
,minus-2-2,e127,,
,minus-3,e129,,
,minus-square,e12b,,
,minus-square-2,e12a,,
,monitor,e12e,,
,monitor-2,e12d,,
,moon,e130,,
,moon-2,e12f,,
,more-horizontal,e132,,
,more-horizontal-2,e131,,
,more-vertical,e134,,
,more-vertical-2,e133,,
,move,e136,,
,move-2,e135,,
,music,e138,,
,music-2,e137,,
,navigation,e13c,,
,navigation-2,e13a,,
,navigation-2-2,e139,,
,navigation-3,e13b,,
,npm,e13e,,
,npm-2,e13d,,
,options,e142,,
,options-2,e140,,
,options-2-2,e13f,,
,options-3,e141,,
,pantone,e144,,
,pantone-2,e143,,
,paper-plane,e146,,
,paper-plane-2,e145,,
,pause-2,e148,,
,pause-2-2,e147,,
,people,e14a,,
,people-2,e149,,
,percent,e14c,,
,percent-2,e14b,,
,person,e156,,
,person-2,e14d,,
,person-add,e14f,,
,person-add-2,e14e,,
,person-delete,e151,,
,person-delete-2,e150,,
,person-done,e153,,
,person-done-2,e152,,
,person-remove,e155,,
,person-remove-2,e154,,
,phone,e15e,,
,phone-2,e157,,
,phone-call,e159,,
,phone-call-2,e158,,
,phone-missed,e15b,,
,phone-missed-2,e15a,,
,phone-off,e15d,,
,phone-off-2,e15c,,
,pie-chart,e161,,
,pie-chart-2,e15f,,
,pie-chart-3,e160,,
,pin,e163,,
,pin-2,e162,,
,play-2,e165,,
,play-2-2,e164,,
,plus,e16b,,
,plus-2,e167,,
