G,Name,U+,Style,Tags
,area-map,e0e5,,
,area-map-2,e0e4,,
,arena,e0e7,,
,arena-2,e0e6,,
,aries,e0e8,,
,arithmetic,e0ec,,
,arithmetic-buttons,e0ea,,
,arithmetic-buttons-2,e0e9,,
,arithmetic-one,e0eb,,
,arrow-circle-down,e0ee,,
,arrow-circle-down-2,e0ed,,
,arrow-circle-left,e0f0,,
,arrow-circle-left-2,e0ef,,
,arrow-circle-right,e0f2,,
,arrow-circle-right-2,e0f1,,
,arrow-circle-up,e0f4,,
,arrow-circle-up-2,e0f3,,
,arrow-down,e0f5,,
,arrow-keys,e0f7,,
,arrow-keys-2,e0f6,,
,arrow-left,e0f9,,
,arrow-left-down,e0f8,,
,arrow-left-up,e0fa,,
,arrow-right,e0fc,,
,arrow-right-down,e0fb,,
,arrow-right-up,e0fd,,
,arrow-up,e0fe,,
,assembly-line,e100,,
,assembly-line-2,e0ff,,
,association,e101,,
,asterisk,e105,,
,asterisk-2,e102,,
,asterisk-key,e104,,
,asterisk-key-2,e103,,
,astonished-face,e107,,
,astonished-face-2,e106,,
,at-sign,e109,,
,at-sign-2,e108,,
,attention,e10b,,
,attention-2,e10a,,
,audio-file,e10d,,
,audio-file-2,e10c,,
,audit,e10f,,
,audit-2,e10e,,
,auto-focus,e111,,
,auto-focus-2,e110,,
,auto-height-one,e112,,
,auto-line-height,e113,,
,auto-line-width,e114,,
,auto-width,e116,,
,auto-width-one,e115,,
,avatar,e118,,
,avatar-2,e117,,
,average,e119,,
,aviation,e11b,,
,aviation-2,e11a,,
,avocado,e11f,,
,avocado-2,e11c,,
,avocado-one,e11e,,
,avocado-one-2,e11d,,
,baby,e132,,
,baby-2,e120,,
,baby-app,e122,,
,baby-app-2,e121,,
,baby-bottle,e123,,
,baby-car-seat,e125,,
,baby-car-seat-2,e124,,
,baby-feet,e127,,
,baby-feet-2,e126,,
,baby-meal,e129,,
,baby-meal-2,e128,,
,baby-mobile,e12b,,
,baby-mobile-2,e12a,,
,baby-one,e12d,,
,baby-one-2,e12c,,
,baby-pants,e12f,,
,baby-pants-2,e12e,,
,baby-sling,e131,,
,baby-sling-2,e130,,
,baby-taste,e134,,
,baby-taste-2,e133,,
,bachelor-cap,e138,,
,bachelor-cap-2,e135,,
,bachelor-cap-one,e137,,
,bachelor-cap-one-2,e136,,
,bachelor-cap-two,e13a,,
,bachelor-cap-two-2,e139,,
,back,e140,,
,back-2,e13b,,
,background-color,e13c,,
,back-one,e13d,,
,backpack,e13f,,
,backpack-2,e13e,,
,badge,e142,,
,badge-2,e141,,
,badge-two,e144,,
,badge-two-2,e143,,
,badminton,e146,,
,badminton-2,e145,,
,baggage-delay,e148,,
,baggage-delay-2,e147,,
,balance,e14b,,
,balance-2,e149,,
,balance-one,e14a,,
,balance-two,e14d,,
,balance-two-2,e14c,,
,banana,e14f,,
,banana-2,e14e,,
,bank,e156,,
,bank-card,e153,,
,bank-card-2,e150,,
,bank-card-one,e152,,
,bank-card-one-2,e151,,
,bank-card-two,e155,,
,bank-card-two-2,e154,,
,bank-transfer,e157,,
,baokemeng,e159,,
,baokemeng-2,e158,,
,barbecue,e15b,,
,barbecue-2,e15a,,
,barber-brush,e15d,,
,barber-brush-2,e15c,,
,barber-clippers,e15f,,
,barber-clippers-2,e15e,,
,bar-code,e160,,
