G,Name,U+,Style,Tags
,filter-remove,e0f4,,
,filter-remove-3,e0f3,,
,fiscal-host,e0f7,,
,fiscal-host-3,e0f6,,
,flame,e0f9,,
,flame-3,e0f8,,
,fold,e0fd,,
,fold-3,e0fa,,
,fold-down,e0fc,,
,fold-down-3,e0fb,,
,fold-up,e0ff,,
,fold-up-3,e0fe,,
,gear,e101,,
,gear-3,e100,,
,gift,e103,,
,gift-3,e102,,
,git-branch,e105,,
,git-branch-3,e104,,
,git-commit,e107,,
,git-commit-3,e106,,
,git-compare,e109,,
,git-compare-3,e108,,
,git-merge,e10d,,
,git-merge-3,e10a,,
,git-merge-queue,e10c,,
,git-merge-queue-3,e10b,,
,git-pull-request,e113,,
,git-pull-request-3,e10e,,
,git-pull-request-closed,e110,,
,git-pull-request-closed-3,e10f,,
,git-pull-request-draft,e112,,
,git-pull-request-draft-3,e111,,
,globe,e115,,
,globe-3,e114,,
,goal,e117,,
,goal-3,e116,,
,grabber,e119,,
,grabber-3,e118,,
,graph,e11b,,
,graph-3,e11a,,
,hash,e11d,,
,hash-3,e11c,,
,heading,e11f,,
,heading-3,e11e,,
,heart,e123,,
,heart-3,e120,,
,heart-4,e121,,
,heart-5,e122,,
,history,e125,,
,history-3,e124,,
,home,e129,,
,home-3,e126,,
,home-4,e127,,
,home-5,e128,,
,horizontal-rule,e12b,,
,horizontal-rule-3,e12a,,
,hourglass,e12d,,
,hourglass-3,e12c,,
,hubot,e12f,,
,hubot-3,e12e,,
,id-badge,e131,,
,id-badge-3,e130,,
,image,e133,,
,image-3,e132,,
,inbox,e135,,
,inbox-3,e134,,
,infinity,e137,,
,infinity-3,e136,,
,info,e139,,
,info-3,e138,,
,issue-closed,e13b,,
,issue-closed-3,e13a,,
,issue-draft,e13d,,
,issue-draft-3,e13c,,
,issue-opened,e13f,,
,issue-opened-3,e13e,,
,issue-reopened,e141,,
,issue-reopened-3,e140,,
,issue-tracked-by,e143,,
,issue-tracked-by-3,e142,,
,issue-tracks,e145,,
,issue-tracks-3,e144,,
,italic,e147,,
,italic-3,e146,,
,iterations,e149,,
,iterations-3,e148,,
,kebab-horizontal,e14b,,
,kebab-horizontal-3,e14a,,
,key,e14f,,
,key-3,e14c,,
,key-asterisk,e14e,,
,key-asterisk-3,e14d,,
,law,e151,,
,law-3,e150,,
,light-bulb,e153,,
,light-bulb-3,e152,,
,link,e157,,
,link-3,e154,,
,link-external,e156,,
,link-external-3,e155,,
,list-ordered,e159,,
,list-ordered-3,e158,,
,list-unordered,e15b,,
,list-unordered-3,e15a,,
,location,e15d,,
,location-3,e15c,,
,lock,e15f,,
,lock-3,e15e,,
,log,e165,,
,log-3,e160,,
,logo-gist,e162,,
,logo-gist-3,e161,,
,logo-github,e164,,
,logo-github-3,e163,,
,mail,e167,,
,mail-3,e166,,
,markdown,e169,,
,markdown-3,e168,,
,mark-github,e16b,,
,mark-github-3,e16a,,
,megaphone,e16d,,
,megaphone-3,e16c,,
,mention,e16f,,
,mention-3,e16e,,
,meter,e171,,
,meter-3,e170,,
,milestone,e173,,
,milestone-3,e172,,
,mirror,e175,,
,mirror-3,e174,,
,moon,e177,,
,moon-3,e176,,
,mortar-board,e179,,
,mortar-board-3,e178,,
,move-to-bottom,e17b,,
,move-to-bottom-3,e17a,,
,move-to-end,e17d,,
,move-to-end-3,e17c,,
,move-to-start,e17f,,
,move-to-start-3,e17e,,
,move-to-top,e181,,
,move-to-top-3,e180,,
,multi-select,e183,,
,multi-select-3,e182,,
,mute,e185,,
,mute-3,e184,,
,no-entry,e188,,
,no-entry-3,e186,,
,no-entry-4,e187,,
,north-star,e18a,,
,north-star-3,e189,,
,note,e18c,,
,note-3,e18b,,
,number,e18e,,
,number-3,e18d,,
,organization,e190,,
,organization-3,e18f,,
,package,e196,,
,package-3,e191,,
,package-dependencies,e193,,
,package-dependencies-3,e192,,
,package-dependents,e195,,
,package-dependents-3,e194,,
,paintbrush,e198,,
,paintbrush-3,e197,,
,paper-airplane,e19a,,
,paper-airplane-3,e199,,
,paperclip,e19c,,
,paperclip-3,e19b,,
,passkey,e19e,,
,passkey-3,e19d,,
,paste,e1a0,,
,paste-3,e19f,,
,pencil,e1a2,,
,pencil-3,e1a1,,
,people,e1a4,,
,people-3,e1a3,,
,person,e1aa,,
,person-3,e1a5,,
,person-4,e1a6,,
,person-5,e1a7,,
,person-add,e1a9,,
,person-add-3,e1a8,,
,pin,e1ae,,
,pin-3,e1ab,,
,pin-slash,e1ad,,
,pin-slash-3,e1ac,,
,pivot-column,e1b0,,
,pivot-column-3,e1af,,
