G,Name,U+,Style,Tags
,cable,e0ed,,
,cable-car,e0ec,,
,cake,e0ef,,
,cake-slice,e0ee,,
,calculator,e0f0,,
,calendar,e0fe,,
,calendar-check,e0f2,,
,calendar-check-2,e0f1,,
,calendar-clock,e0f3,,
,calendar-days,e0f4,,
,calendar-fold,e0f5,,
,calendar-heart,e0f6,,
,calendar-minus,e0f8,,
,calendar-minus-2,e0f7,,
,calendar-off,e0f9,,
,calendar-plus,e0fb,,
,calendar-plus-2,e0fa,,
,calendar-range,e0fc,,
,calendar-search,e0fd,,
,calendar-x,e100,,
,calendar-x-2,e0ff,,
,camera,e102,,
,camera-off,e101,,
,candlestick-chart,e103,,
,candy,e106,,
,candy-cane,e104,,
,candy-off,e105,,
,cannabis,e107,,
,captions,e109,,
,captions-off,e108,,
,car,e10d,,
,caravan,e10a,,
,car-front,e10b,,
,carrot,e10c,,
,car-taxi-front,e10e,,
,case-lower,e10f,,
,case-sensitive,e110,,
,case-upper,e111,,
,cassette-tape,e112,,
,cast,e114,,
,castle,e113,,
,cat,e115,,
,cctv,e116,,
,check,e118,,
,check-check,e117,,
,chef-hat,e119,,
,cherry,e11a,,
,chevron-down,e11b,,
,chevron-first,e11c,,
,chevron-last,e11d,,
,chevron-left,e11e,,
,chevron-right,e11f,,
,chevrons-down,e120,,
,chevrons-down-up,e121,,
,chevrons-left,e123,,
,chevrons-left-right,e122,,
,chevrons-right,e125,,
,chevrons-right-left,e124,,
,chevrons-up,e127,,
,chevrons-up-down,e126,,
,chevron-up,e128,,
,chrome,e129,,
,church,e12a,,
,cigarette,e12c,,
,cigarette-off,e12b,,
,circle,e152,,
,circle-alert,e12d,,
,circle-arrow-down,e12e,,
,circle-arrow-left,e12f,,
,circle-arrow-out-down-left,e130,,
,circle-arrow-out-down-right,e131,,
,circle-arrow-out-up-left,e132,,
,circle-arrow-out-up-right,e133,,
,circle-arrow-right,e134,,
,circle-arrow-up,e135,,
,circle-check,e137,,
,circle-check-big,e136,,
,circle-chevron-down,e138,,
,circle-chevron-left,e139,,
,circle-chevron-right,e13a,,
,circle-chevron-up,e13b,,
,circle-dashed,e13c,,
,circle-divide,e13d,,
,circle-dollar-sign,e13e,,
,circle-dot,e140,,
,circle-dot-dashed,e13f,,
,circle-ellipsis,e141,,
,circle-equal,e142,,
,circle-fading-plus,e143,,
,circle-gauge,e144,,
,circle-help,e145,,
,circle-minus,e146,,
,circle-off,e147,,
,circle-parking,e149,,
,circle-parking-off,e148,,
,circle-pause,e14a,,
,circle-percent,e14b,,
,circle-play,e14c,,
,circle-plus,e14d,,
,circle-power,e14e,,
,circle-slash,e150,,
,circle-slash-2,e14f,,
,circle-stop,e151,,
,circle-user,e154,,
,circle-user-round,e153,,
,circle-x,e155,,
,circuit-board,e156,,
,citrus,e157,,
,clapperboard,e158,,
,clipboard,e161,,
,clipboard-check,e159,,
,clipboard-copy,e15a,,
,clipboard-list,e15b,,
,clipboard-minus,e15c,,
,clipboard-paste,e15d,,
,clipboard-pen,e15f,,
,clipboard-pen-line,e15e,,
,clipboard-plus,e160,,
,clipboard-type,e162,,
,clipboard-x,e163,,
,clock,e170,,
,clock-1,e167,,
,clock-10,e164,,
,clock-11,e165,,
,clock-12,e166,,
,clock-2,e168,,
,clock-3,e169,,
,clock-4,e16a,,
,clock-5,e16b,,
,clock-6,e16c,,
,clock-7,e16d,,
,clock-8,e16e,,
,clock-9,e16f,,
,cloud,e17f,,
,cloud-cog,e171,,
,cloud-download,e172,,
,cloud-drizzle,e173,,
,cloud-fog,e174,,
,cloud-hail,e175,,
,cloud-lightning,e176,,
,cloud-moon,e178,,
,cloud-moon-rain,e177,,
,cloud-off,e179,,
,cloud-rain,e17a,,
,cloud-rain-wind,e17b,,
,cloud-snow,e17c,,
,cloud-sun,e17e,,
,cloud-sun-rain,e17d,,
,cloud-upload,e180,,
,cloudy,e181,,
,clover,e182,,
,club,e183,,
,code,e186,,
,codepen,e184,,
,codesandbox,e185,,
,code-xml,e187,,
,coffee,e188,,
,cog,e189,,
,coins,e18a,,
,columns-2,e18b,,
,columns-3,e18c,,
,columns-4,e18d,,
,combine,e18e,,
,command,e18f,,
,compass,e190,,
,component,e191,,
,computer,e192,,
,concierge-bell,e193,,
,cone,e194,,
,construction,e195,,
,contact,e197,,
,contact-round,e196,,
,container,e198,,
,contrast,e199,,
,cookie,e19a,,
,cooking-pot,e19b,,
,copy,e1a2,,
,copy-check,e19c,,
,copyleft,e19d,,
,copy-minus,e19e,,
,copy-plus,e19f,,
,copyright,e1a0,,
,copy-slash,e1a1,,
,copy-x,e1a3,,
,corner-down-left,e1a4,,
,corner-down-right,e1a5,,
,corner-left-down,e1a6,,
,corner-left-up,e1a7,,
,corner-right-down,e1a8,,
,corner-right-up,e1a9,,
,corner-up-left,e1aa,,
,corner-up-right,e1ab,,
,cpu,e1ac,,
,creative-commons,e1ad,,
,credit-card,e1ae,,
,croissant,e1af,,
,crop,e1b0,,
,cross,e1b2,,
,crosshair,e1b1,,
,crown,e1b3,,
,cuboid,e1b4,,
,cup-soda,e1b5,,
,currency,e1b6,,
,cylinder,e1b7,,
,database,e1b9,,
,database-backup,e1b8,,
,database-zap,e1ba,,
,delete,e1bb,,
,dessert,e1bc,,
,diameter,e1bd,,
,diamond,e1c1,,
,diamond-minus,e1be,,
,diamond-percent,e1bf,,
,diamond-plus,e1c0,,
,dice-1,e1c2,,
,dice-2,e1c3,,
,dice-3,e1c4,,
,dice-4,e1c5,,
,dice-5,e1c6,,
,dice-6,e1c7,,
,dices,e1c8,,
,diff,e1c9,,
,disc,e1cd,,
,disc-2,e1ca,,
,disc-3,e1cb,,
,disc-album,e1cc,,
,divide,e1ce,,
,dna,e1d0,,
,dna-off,e1cf,,
,dock,e1d1,,
,dog,e1d2,,
,dollar-sign,e1d3,,
,donut,e1d4,,
,door-closed,e1d5,,
,door-open,e1d6,,
,dot,e1d7,,
,download,e1d8,,
,drafting-compass,e1d9,,
,drama,e1da,,
,dribbble,e1db,,
,drill,e1dc,,
,droplet,e1de,,
,droplets,e1dd,,
,drum,e1e0,,
,drumstick,e1df,,
,dumbbell,e1e1,,
,ear,e1e3,,
,ear-off,e1e2,,
,earth,e1e5,,
,earth-lock,e1e4,,
,eclipse,e1e6,,
,egg,e1e9,,
,egg-fried,e1e7,,
,egg-off,e1e8,,
,ellipsis,e1ea,,
