G,Name,U+,Style,Tags
,bitcoin,e0c7,,
,bitcoin-2,e0c5,,
,bitcoin-4,e0c6,,
,bold,e0c9,,
,bold-italic-underline,e0c8,,
,bold-underline,e0ca,,
,bolt,e0d4,,
,bolt-2,e0cb,,
,bolt-4,e0cc,,
,bolt-badge-a,e0ce,,
,bolt-badge-a-4,e0cd,,
,bolt-horizontal,e0d1,,
,bolt-horizontal-2,e0cf,,
,bolt-horizontal-4,e0d0,,
,bolt-slash,e0d3,,
,bolt-slash-4,e0d2,,
,book,e0d9,,
,book-2,e0d5,,
,book-4,e0d6,,
,bookmark,e0d8,,
,bookmark-4,e0d7,,
,briefcase,e0db,,
,briefcase-4,e0da,,
,bubble-left,e0df,,
,bubble-left-4,e0dc,,
,bubble-left-bubble-right,e0de,,
,bubble-left-bubble-right-4,e0dd,,
,bubble-middle-bottom,e0e1,,
,bubble-middle-bottom-4,e0e0,,
,bubble-middle-top,e0e3,,
,bubble-middle-top-4,e0e2,,
,bubble-right,e0e5,,
,bubble-right-4,e0e4,,
,building,e0ec,,
,building-2,e0e7,,
,building-2-crop-2,e0e6,,
,building-4,e0e8,,
,building-columns,e0ea,,
,building-columns-4,e0e9,,
,building-crop,e0eb,,
,burn,e0ed,,
,burst,e0ef,,
,burst-4,e0ee,,
,calendar,e0f4,,
,calendar-2,e0f0,,
,calendar-4,e0f1,,
,calendar-badge-minus,e0f2,,
,calendar-badge-plus,e0f3,,
,calendar-today,e0f5,,
,camera,e0fd,,
,camera-2,e0f6,,
,camera-4,e0f7,,
,camera-filters,e0f8,,
,camera-on-rectangle,e0fa,,
,camera-on-rectangle-4,e0f9,,
,camera-rotate,e0fc,,
,camera-rotate-4,e0fb,,
,camera-viewfinder,e0fe,,
,capslock,e100,,
,capslock-4,e0ff,,
,capsule,e102,,
,capsule-4,e101,,
,captions-bubble,e104,,
,captions-bubble-4,e103,,
,car,e105,,
,cart,e10b,,
,cart-4,e106,,
,cart-badge-minus,e108,,
,cart-badge-minus-4,e107,,
,cart-badge-plus,e10a,,
,cart-badge-plus-4,e109,,
,cat,e10c,,
,chart-bar,e112,,
,chart-bar-2,e10d,,
,chart-bar-3,e10e,,
,chart-bar-4,e10f,,
,chart-bar-5,e110,,
,chart-bar-6,e111,,
,chart-pie,e114,,
,chart-pie-4,e113,,
,chat-bubble,e117,,
,chat-bubble-2,e115,,
,chat-bubble-4,e116,,
,chat-bubble-text,e119,,
,chat-bubble-text-4,e118,,
,checkmark,e128,,
,checkmark-2,e11b,,
,checkmark-2-2,e11a,,
,checkmark-3,e11c,,
,checkmark-4,e11e,,
,checkmark-4-2,e11d,,
,checkmark-5,e11f,,
,checkmark-6,e120,,
,checkmark-7,e121,,
,checkmark-rectangle,e123,,
