G,Name,U+,Style,Tags
,cable-tag-2,e0e9,,
,calculator,e0eb,,
,calendar,e0ee,,
,calendar-minus,e0ec,,
,calendar-plus,e0ed,,
,camera,e0f0,,
,camera-2,e0ef,,
,candlestick-chart,e0f1,,
,car,e0f7,,
,card-lock,e0f2,,
,card-no-access,e0f3,,
,card-reader,e0f4,,
,card-shield,e0f5,,
,card-wallet,e0f6,,
,cart,e0fb,,
,cart-2,e0f8,,
,cart-minus,e0f9,,
,cart-plus,e0fa,,
,cash,e0fd,,
,cash-2,e0fc,,
,cell-2x2,e0fe,,
,cellar,e0ff,,
,center-align,e101,,
,center-align-2,e100,,
,chat-bubble,e109,,
,chat-bubble-2,e102,,
,chat-bubble-check,e104,,
,chat-bubble-check-2,e103,,
,chat-bubble-empty,e106,,
,chat-bubble-empty-2,e105,,
,chat-bubble-question,e108,,
,chat-bubble-question-2,e107,,
,chat-bubble-translate,e10b,,
,chat-bubble-translate-2,e10a,,
,chat-bubble-warning,e10d,,
,chat-bubble-warning-2,e10c,,
,chat-bubble-xmark,e10f,,
,chat-bubble-xmark-2,e10e,,
,chat-lines,e111,,
,chat-lines-2,e110,,
,chat-minus-in,e113,,
,chat-minus-in-2,e112,,
,chat-plus-in,e115,,
,chat-plus-in-2,e114,,
,check,e11a,,
,check-2,e116,,
,check-3,e117,,
,check-4,e118,,
,check-5,e119,,
,chocolate,e11b,,
,chromecast,e11d,,
,chromecast-active,e11c,,
,church,e11f,,
,church-side,e11e,,
,cigarette-slash,e120,,
,cinema-old,e121,,
,circle,e123,,
,circle-spark,e122,,
,city,e124,,
,clipboard-check,e125,,
,clock,e128,,
,clock-2,e126,,
,clock-rotate-right,e127,,
,closed-captions-tag,e12a,,
,closed-captions-tag-2,e129,,
,closet,e12b,,
,cloud,e133,,
,cloud-2,e12c,,
,cloud-3,e12d,,
,cloud-bookmark,e12e,,
,cloud-check,e12f,,
,cloud-desync,e130,,
,cloud-download,e131,,
,cloud-sunny,e132,,
,cloud-sync,e134,,
,cloud-upload,e135,,
,cloud-xmark,e136,,
,code,e13a,,
,code-brackets,e138,,
,code-brackets-2,e137,,
,codepen,e139,,
,coffee-cup,e13b,,
,coins,e13d,,
,coin-slash,e13c,,
,coins-swap,e13e,,
,collage-frame,e13f,,
,collapse,e140,,
,color-filter,e141,,
,color-picker,e142,,
,color-wheel,e143,,
,combine,e144,,
,commodity,e145,,
,community,e146,,
,compact-disc,e147,,
,comp-align-bottom,e149,,
,comp-align-bottom-2,e148,,
,comp-align-left,e14b,,
,comp-align-left-2,e14a,,
,comp-align-right,e14d,,
,comp-align-right-2,e14c,,
,comp-align-top,e14f,,
,comp-align-top-2,e14e,,
,compass,e150,,
,component,e152,,
,component-2,e151,,
,compress,e154,,
,compress-lines,e153,,
,computer,e155,,
,constrained-surface,e156,,
,consumable,e157,,
,contactless,e158,,
,control-slider,e159,,
,cookie,e15a,,
,cooling,e15b,,
,copy,e15d,,
,copyright,e15c,,
,corner-bottom-left,e15e,,
,corner-bottom-right,e15f,,
,corner-top-left,e160,,
,corner-top-right,e161,,
,cpu,e162,,
,cpu-warning,e163,,
,cracked-egg,e164,,
,creative-commons,e165,,
,credit-card,e169,,
,credit-card-2,e166,,
,credit-cards,e168,,
,credit-card-slash,e167,,
,crib,e16a,,
,crop,e16f,,
,crop-rotate-bl,e16b,,
,crop-rotate-br,e16c,,
,crop-rotate-tl,e16d,,
,crop-rotate-tr,e16e,,
,crown,e171,,
,crown-2,e170,,
,css3,e172,,
,cube,e178,,
,cube-bandage,e174,,
,cube-cut-with-curve,e175,,
,cube-hole,e176,,
,cube-replace-face,e177,,
,cursor-pointer,e179,,
,curve-array,e17a,,
,cut,e17c,,
,cutlery,e17b,,
,cycling,e17d,,
,cylinder,e17e,,
,dashboard,e181,,
,dashboard-dots,e17f,,
,dashboard-speed,e180,,
,dash-flag,e182,,
,database,e191,,
,database-2,e183,,
,database-backup,e184,,
,database-check,e186,,
,database-check-2,e185,,
,database-export,e187,,
,database-monitor,e188,,
,database-restore,e189,,
,database-script,e18c,,
,database-script-minus,e18a,,
,database-script-plus,e18b,,
,database-search,e18d,,
,database-settings,e18e,,
,database-star,e18f,,
,database-stats,e190,,
,database-tag,e193,,
,database-tag-2,e192,,
,database-warning,e194,,
,database-xmark,e196,,
,database-xmark-2,e195,,
,data-transfer-both,e197,,
,data-transfer-check,e198,,
,data-transfer-down,e199,,
,data-transfer-up,e19a,,
,data-transfer-warning,e19b,,
,de-compress,e19c,,
,delivery,e19d,,
,delivery-truck,e19e,,
,depth,e19f,,
,design-nib,e1a1,,
,design-nib-2,e1a0,,
,design-pencil,e1a2,,
,desk,e1a3,,
,developer,e1a4,,
,dew-point,e1a5,,
,dialpad,e1a6,,
,diameter,e1a7,,
,dice-five,e1a8,,
,dice-four,e1a9,,
,dice-one,e1aa,,
,dice-six,e1ab,,
,dice-three,e1ac,,
,dice-two,e1ad,,
,dimmer-switch,e1ae,,
,director-chair,e1af,,
,discord,e1b0,,
,dishwasher,e1b1,,
,display-4k,e1b2,,
,divide,e1b3,,
,divide-three,e1b4,,
,dna,e1b5,,
,dns,e1b6,,
,doc-magnifying-glass,e1b8,,
,doc-magnifying-glass-in,e1b7,,
,doc-star,e1ba,,
,doc-star-in,e1b9,,
,dogecoin,e1bd,,
,dogecoin-2,e1bb,,
,dogecoin-rotate-out,e1bc,,
,dollar,e1c0,,
,dollar-2,e1be,,
,dollar-3,e1bf,,
,domotic-warning,e1c1,,
,donate,e1c2,,
,dot-arrow-down,e1c3,,
,dot-arrow-left,e1c4,,
,dot-arrow-right,e1c5,,
,dot-arrow-up,e1c6,,
,double-check,e1c7,,
,download,e1cd,,
,download-2,e1c8,,
,download-3,e1c9,,
,download-4,e1ca,,
,download-5,e1cb,,
,download-data-window,e1cc,,
,drag,e1cf,,
,drag-hand-gesture,e1ce,,
,drawer,e1d0,,
,dribbble,e1d1,,
,drone,e1d8,,
,drone-charge-full,e1d2,,
,drone-charge-half,e1d3,,
,drone-charge-low,e1d4,,
,drone-check,e1d5,,
,drone-landing,e1d6,,
,drone-refresh,e1d7,,
,drone-take-off,e1d9,,
,drone-xmark,e1da,,
,droplet,e1de,,
,droplet-2,e1db,,
,droplet-check,e1dc,,
,droplet-half,e1dd,,
,ease-curve-control-points,e1df,,
,ease-in,e1e2,,
,ease-in-control-point,e1e0,,
,ease-in-out,e1e1,,
,ease-out,e1e4,,
,ease-out-control-point,e1e3,,
,ecology-book,e1e5,,
,edit,e1e7,,
,edit-pencil,e1e6,,
,egg,e1e8,,
,eject,e1e9,,
,electronics-chip,e1ea,,
,electronics-transistor,e1eb,,
,elevator,e1ec,,
,ellipse-3d,e1ed,,
,ellipse-3d-three-points,e1ee,,
,emoji,e201,,
,emoji-ball,e1ef,,
,emoji-blink-left,e1f0,,
,emoji-blink-right,e1f1,,
,emoji-look-down,e1f2,,
,emoji-look-left,e1f3,,
,emoji-look-right,e1f4,,
,emoji-look-up,e1f5,,
,emoji-puzzled,e1f6,,
,emoji-quite,e1f7,,
,emoji-really,e1f8,,
,emoji-sad,e1f9,,
,emoji-satisfied,e1fa,,
,emoji-sing-left,e1fc,,
,emoji-sing-left-note,e1fb,,
,emoji-sing-right,e1fe,,
,emoji-sing-right-note,e1fd,,
,emoji-surprise,e200,,
,emoji-surprise-2,e1ff,,
,emoji-talking-angry,e202,,
,emoji-talking-happy,e203,,
,emoji-think-left,e204,,
,emoji-think-right,e205,,
,empty-page,e206,,
,energy-usage-window,e207,,
,enlarge,e208,,
,erase,e20a,,
,erase-2,e209,,
,ethereum,e20d,,
,ethereum-2,e20b,,
,ethereum-rotate-out,e20c,,
,euro,e210,,
,euro-2,e20e,,
,euro-3,e20f,,
,ev-charge,e212,,
,ev-charge-2,e211,,
,ev-plug,e214,,
,ev-plug-charging,e213,,
,ev-plug-xmark,e215,,
,ev-station,e216,,
,ev-tag,e217,,
,exclude,e218,,
,expand,e21a,,
,expand-lines,e219,,
,extrude,e21b,,
,eye,e21e,,
,eye-2,e21c,,
,eye-closed,e21d,,
,f,e26d,,
,face-3d-draft,e21f,,
,facebook,e220,,
,facebook-tag,e221,,
,face-id,e222,,
,facetime,e224,,
,facetime-2,e223,,
,farm,e225,,
,fast-arrow-down,e227,,
,fast-arrow-down-2,e226,,
,fast-arrow-left,e229,,
,fast-arrow-left-2,e228,,
,fast-arrow-right,e22b,,
,fast-arrow-right-2,e22a,,
,fast-arrow-up,e22d,,
,fast-arrow-up-2,e22c,,
,fast-down,e22e,,
,fast-left,e22f,,
,fast-right,e230,,
,fast-up,e231,,
,favourite-book,e232,,
,favourite-window,e233,,
,female,e234,,
,figma,e235,,
,file-not-found,e236,,
,fill-color,e238,,
,fill-color-2,e237,,
,fillet-3d,e239,,
,filter,e23e,,
,filter-2,e23a,,
,filter-3,e23b,,
,filter-list,e23d,,
,filter-list-2,e23c,,
,finder,e23f,,
,fingerprint,e245,,
,fingerprint-2,e240,,
,fingerprint-3,e241,,
,fingerprint-check,e242,,
,fingerprint-lock,e243,,
,fingerprint-scan,e244,,
,fingerprint-window,e246,,
,fingerprint-xmark,e247,,
,fire-flame,e248,,
,fish,e24a,,
,fishing,e249,,
,flare,e24b,,
,flash,e24e,,
,flash-2,e24c,,
,flash-off,e24d,,
,flask,e24f,,
,flip,e251,,
,flip-reverse,e250,,
,floppy-disk,e254,,
,floppy-disk-arrow-in,e252,,
,floppy-disk-arrow-out,e253,,
,flower,e255,,
,fog,e256,,
,folder,e25a,,
,folder-minus,e257,,
,folder-plus,e258,,
,folder-settings,e259,,
,folder-warning,e25b,,
,font-question,e25c,,
,football,e25e,,
,football-ball,e25d,,
,forward,e262,,
,forward-15-seconds,e25f,,
,forward-2,e260,,
,forward-message,e261,,
,frame,e269,,
,frame-2,e263,,
,frame-empty,e264,,
,frame-minus-in,e265,,
,frame-plus-in,e266,,
,frame-select,e267,,
,frame-simple,e268,,
,frame-tool,e26b,,
,frame-tool-2,e26a,,
,fridge,e26c,,
,fx,e26e,,
,fx-tag,e270,,
,fx-tag-2,e26f,,
,gamepad,e271,,
,garage,e272,,
,gas,e273,,
,gas-tank,e275,,
,gas-tank-droplet,e274,,
,gif-format,e276,,
,gift,e277,,
,git-branch,e278,,
,git-cherry-pick-commit,e279,,
,git-commit,e27a,,
,git-compare,e27b,,
,git-fork,e27c,,
,github,e27e,,
,github-2,e27d,,
,gitlab-full,e27f,,
,git-merge,e280,,
,git-pull-request,e282,,
,git-pull-request-closed,e281,,
,glass-empty,e283,,
,glasses,e284,,
,glass-fragile,e285,,
,glass-half,e287,,
,glass-half-2,e286,,
,globe,e288,,
,golf,e289,,
,google,e292,,
,google-2,e28a,,
,google-docs,e28b,,
,google-drive,e28d,,
,google-drive-check,e28c,,
,google-drive-sync,e28e,,
,google-drive-warning,e28f,,
,google-home,e290,,
,google-one,e291,,
,gps,e293,,
,graduation-cap,e294,,
,graph-down,e295,,
,graph-up,e296,,
,grid-minus,e297,,
,grid-plus,e298,,
,grid-xmark,e299,,
,group,e29a,,
,gym,e29b,,
,h,e2dd,,
,half-cookie,e29c,,
,half-moon,e29d,,
,hammer,e29e,,
,handbag,e29f,,
,hand-brake,e2a0,,
,hand-card,e2a1,,
,hand-cash,e2a2,,
,hand-contactless,e2a3,,
,hard-drive,e2a4,,
,hashtag,e2a5,,
,hat,e2a6,,
,hd,e2aa,,
,hd-display,e2a8,,
,hd-display-2,e2a7,,
,hdr,e2a9,,
,headset,e2af,,
,headset-2,e2ab,,
,headset-bolt,e2ad,,
,headset-bolt-2,e2ac,,
,headset-help,e2ae,,
,headset-warning,e2b1,,
,headset-warning-2,e2b0,,
,healthcare,e2b2,,
,health-shield,e2b3,,
,heart,e2b6,,
,heart-2,e2b4,,
,heart-arrow-down,e2b5,,
,heating,e2b7,,
,heavy-rain,e2b8,,
,help,e2bc,,
,help-2,e2b9,,
,help-3,e2ba,,
,help-4,e2bb,,
,heptagon,e2bd,,
,hexagon,e2c0,,
,hexagon-dice,e2be,,
,hexagon-plus,e2bf,,
,historic-shield,e2c2,,
,historic-shield-2,e2c1,,
,home,e2cc,,
,home-2,e2c3,,
,home-hospital,e2c4,,
,home-sale,e2c5,,
,home-secure,e2c6,,
,home-shield,e2c7,,
,home-simple,e2c9,,
,home-simple-door,e2c8,,
,home-slim,e2cb,,
,home-slim-horiz,e2ca,,
,home-table,e2cd,,
,home-temperature-in,e2ce,,
,home-temperature-out,e2cf,,
,home-user,e2d0,,
,horiz-distribution-left,e2d2,,
,horiz-distribution-left-2,e2d1,,
,horiz-distribution-right,e2d4,,
,horiz-distribution-right-2,e2d3,,
,horizontal-merge,e2d5,,
,horizontal-split,e2d6,,
,hospital,e2d9,,
,hospital-2,e2d7,,
,hospital-3,e2d8,,
,hot-air-balloon,e2da,,
,hourglass,e2db,,
,house-rooms,e2dc,,
,html5,e2de,,
,ice-cream,e2e0,,
,ice-cream-2,e2df,,
,iconoir,e2e1,,
,import,e2e2,,
,inclination,e2e3,,
,industry,e2e4,,
,infinite,e2e5,,
,info,e2e7,,
,info-2,e2e6,,
,input-field,e2e8,,
,input-output,e2e9,,
,input-search,e2ea,,
,instagram,e2eb,,
,internet,e2ec,,
,intersect,e2ee,,
,intersect-2,e2ed,,
,ios-settings,e2ef,,
,ip-address-tag,e2f0,,
,iris-scan,e2f1,,
,italic,e2f4,,
,italic-2,e2f2,,
,italic-3,e2f3,,
,jellyfish,e2f5,,
,journal,e2f7,,
,journal-page,e2f6,,
,jpeg-format,e2f8,,
,jpg-format,e2f9,,
,kanban-board,e2fa,,
,key,e317,,
,key-back,e2fb,,
,key-command,e2fc,,
,keyframe,e314,,
,keyframe-2,e2fd,,
,keyframe-align-center,e2ff,,
,keyframe-align-center-2,e2fe,,
,keyframe-align-horizontal,e301,,
,keyframe-align-horizontal-2,e300,,
,keyframe-align-vertical,e303,,
,keyframe-align-vertical-2,e302,,
,keyframe-minus,e307,,
,keyframe-minus-2,e304,,
,keyframe-minus-in,e306,,
,keyframe-minus-in-2,e305,,
,keyframe-plus,e30b,,
,keyframe-plus-2,e308,,
,keyframe-plus-in,e30a,,
,keyframe-plus-in-2,e309,,
,keyframe-position,e30d,,
,keyframe-position-2,e30c,,
,keyframes,e313,,
,keyframes-2,e30e,,
,keyframes-couple,e310,,
,keyframes-couple-2,e30f,,
,keyframes-minus,e311,,
,keyframes-plus,e312,,
,key-minus,e315,,
,key-plus,e316,,
,key-xmark,e318,,
,label,e31a,,
,label-2,e319,,
,lamp,e31b,,
,language,e31c,,
,laptop,e320,,
,laptop-charging,e31d,,
,laptop-dev-mode,e31e,,
,laptop-fix,e31f,,
,laptop-warning,e321,,
,layout-left,e322,,
,layout-right,e323,,
,leaderboard,e325,,
,leaderboard-star,e324,,
,leaf,e326,,
,learning,e327,,
,lens,e329,,
,lens-plus,e328,,
,lifebelt,e32a,,
,light-bulb,e32d,,
,light-bulb-off,e32b,,
,light-bulb-on,e32c,,
,linear,e32e,,
,line-space,e32f,,
,link,e332,,
,linkedin,e330,,
,link-slash,e331,,
,link-xmark,e333,,
,linux,e334,,
,list,e336,,
,list-select,e335,,
,litecoin,e339,,
,litecoin-2,e337,,
,litecoin-rotate-out,e338,,
,lock,e33c,,
,lock-2,e33a,,
,lock-slash,e33b,,
,loft-3d,e33d,,
,log-in,e33e,,
,log-no-access,e33f,,
,log-out,e340,,
,long-arrow-down-left,e341,,
,long-arrow-down-right,e342,,
