G,Name,U+,Style,Tags
,embeddedc-plain,e0c7,,
,embeddedc-plain-wordmark,e0c8,,
,ember-original-wordmark,e0c9,,
,ember-plain,e0ca,,
,envoy-plain,e0cb,,
,envoy-plain-wordmark,e0cc,,
,erlang-plain,e0cd,,
,erlang-plain-wordmark,e0ce,,
,eslint-plain,e0cf,,
,eslint-plain-wordmark,e0d0,,
,express-original,e0d1,,
,express-original-wordmark,e0d2,,
,facebook-plain,e0d3,,
,fastapi-plain,e0d4,,
,fastapi-plain-wordmark,e0d5,,
,fastify-plain,e0d6,,
,fastify-plain-wordmark,e0d7,,
,faunadb-original,e0d8,,
,faunadb-original-wordmark,e0d9,,
,feathersjs-original,e0da,,
,fedora-plain,e0db,,
,figma-plain,e0dc,,
,filezilla-plain,e0dd,,
,filezilla-plain-wordmark,e0de,,
,firebase-plain,e0df,,
,firebase-plain-wordmark,e0e0,,
,firefox-plain,e0e1,,
,firefox-plain-wordmark,e0e2,,
,flask-original,e0e3,,
,flask-original-wordmark,e0e4,,
,flutter-plain,e0e5,,
,fortran-original,e0e6,,
,foundation-plain,e0e7,,
,foundation-plain-wordmark,e0e8,,
,framermotion-original,e0e9,,
,framermotion-original-wordmark,e0ea,,
,framework7-original,e0eb,,
,framework7-original-wordmark,e0ec,,
,fsharp-plain,e0ed,,
,gatling-line,e0ee,,
,gatling-line-wordmark,e0ef,,
,gatling-original,e0f0,,
,gatling-plain-wordmark,e0f1,,
,gatsby-original,e0f2,,
,gatsby-plain-wordmark,e0f3,,
,gazebo-plain,e0f4,,
,gazebo-plain-wordmark,e0f5,,
,gcc-plain,e0f6,,
,gentoo-plain,e0f7,,
,gentoo-plain-wordmark,e0f8,,
,ghost-original,e0f9,,
,ghost-original-wordmark,e0fa,,
,gimp-plain,e0fb,,
,gimp-plain-wordmark,e0fc,,
,gitbook-original,e0fd,,
,gitbook-original-wordmark,e0fe,,
,githubactions-original,e0ff,,
,githubactions-plain,e100,,
,githubcodespaces-plain,e101,,
,github-original,e102,,
,github-original-wordmark,e103,,
,gitlab-plain,e104,,
,gitlab-plain-wordmark,e105,,
,git-original,e106,,
,git-original-wordmark,e107,,
,git-plain,e108,,
,git-plain-wordmark,e109,,
,gitpod-plain,e10a,,
,gitpod-plain-wordmark,e10b,,
,gitter-plain,e10c,,
,gitter-plain-wordmark,e10d,,
,godot-plain,e10e,,
,godot-plain-wordmark,e10f,,
,goland-plain,e110,,
,goland-plain-wordmark,e111,,
,googlecloud-plain,e112,,
,googlecloud-plain-wordmark,e113,,
,google-plain,e114,,
,google-plain-wordmark,e115,,
,go-original-wordmark,e116,,
,go-plain,e117,,
,gradle-original,e118,,
,gradle-original-wordmark,e119,,
,grafana-plain,e11a,,
,grafana-plain-wordmark,e11b,,
,grails-plain,e11c,,
,graphql-plain,e11d,,
,graphql-plain-wordmark,e11e,,
,groovy-plain,e11f,,
,grpc-plain,e120,,
,grunt-line,e121,,
,grunt-line-wordmark,e122,,
,grunt-plain,e123,,
,grunt-plain-wordmark,e124,,
,gulp-plain,e125,,
,hadoop-plain,e126,,
,hadoop-plain-wordmark,e127,,
,handlebars-original,e128,,
,handlebars-original-wordmark,e129,,
,hardhat-plain,e12a,,
,hardhat-plain-wordmark,e12b,,
,harvester-original,e12c,,
,harvester-plain-wordmark,e12d,,
,haskell-plain,e12e,,
,haskell-plain-wordmark,e12f,,
,haxe-plain,e130,,
,helm-original,e131,,
,heroku-original,e132,,
,heroku-original-wordmark,e133,,
,heroku-plain,e134,,
,heroku-plain-wordmark,e135,,
,hibernate-plain,e136,,
,hibernate-plain-wordmark,e137,,
,homebrew-plain,e138,,
,homebrew-plain-wordmark,e139,,
,html5-plain,e13a,,
,html5-plain-wordmark,e13b,,
,hugo-plain,e13c,,
,hugo-plain-wordmark,e13d,,
,ie10-original,e13e,,
,ifttt-original,e13f,,
,illustrator-line,e140,,
,illustrator-plain,e141,,
,influxdb-original,e142,,
,influxdb-original-wordmark,e143,,
,inkscape-plain,e144,,
,inkscape-plain-wordmark,e145,,
,insomnia-plain,e146,,
,insomnia-plain-wordmark,e147,,
,intellij-plain-wordmark,e148,,
,ionic-original,e149,,
,ionic-original-wordmark,e14a,,
,jaegertracing-plain,e14b,,
,jaegertracing-plain-wordmark,e14c,,
,jamstack-original,e14d,,
,jamstack-plain-wordmark,e14e,,
,jasmine-original,e14f,,
,jasmine-original-wordmark,e150,,
,java-plain,e151,,
,java-plain-wordmark,e152,,
,javascript-plain,e153,,
,jeet-plain,e154,,
,jeet-plain-wordmark,e155,,
,jekyll-plain,e156,,
,jekyll-plain-wordmark,e157,,
,jenkins-line,e158,,
,jenkins-plain,e159,,
,jest-plain,e15a,,
,jetbrains-plain,e15b,,
,jetpackcompose-line,e15c,,
,jetpackcompose-line-wordmark,e15d,,
,jetpackcompose-plain,e15e,,
,jetpackcompose-plain-wordmark,e15f,,
,jiraalign-plain,e160,,
,jiraalign-plain-wordmark,e161,,
,jira-plain,e162,,
,jira-plain-wordmark,e163,,
,jquery-plain,e164,,
,jquery-plain-wordmark,e165,,
,json-plain,e166,,
,jule-original,e167,,
,jule-original-wordmark,e168,,
,julia-plain,e169,,
,julia-plain-wordmark,e16a,,
,junit-line-wordmark,e16b,,
,junit-plain,e16c,,
,junit-plain-wordmark,e16d,,
,jupyter-plain,e16e,,
,jupyter-plain-wordmark,e16f,,
,k3os-original,e170,,
,k3os-plain-wordmark,e171,,
,k3s-original,e172,,
,k3s-plain-wordmark,e173,,
,k6-original,e174,,
,kaggle-original,e175,,
,kaggle-original-wordmark,e176,,
,karatelabs-plain,e177,,
,karatelabs-plain-wordmark,e178,,
,karma-plain,e179,,
,kdeneon-plain,e17a,,
,keras-plain,e17b,,
,keras-plain-wordmark,e17c,,
,kibana-plain,e17d,,
,kibana-plain-wordmark,e17e,,
,knexjs-original,e17f,,
,knexjs-plain-wordmark,e180,,
,knockout-plain-wordmark,e181,,
,kotlin-plain,e182,,
,kotlin-plain-wordmark,e183,,
,krakenjs-plain,e184,,
,krakenjs-plain-wordmark,e185,,
,ktor-plain,e186,,
,ktor-plain-wordmark,e187,,
,kubernetes-plain,e188,,
,kubernetes-plain-wordmark,e189,,
,labview-plain,e18a,,
,labview-plain-wordmark,e18b,,
,laravel-original,e18c,,
,laravel-original-wordmark,e18d,,
,latex-original,e18e,,
,less-plain-wordmark,e18f,,
,linkedin-plain,e190,,
,linkedin-plain-wordmark,e191,,
,linux-plain,e192,,
,liquibase-original,e193,,
,liquibase-original-wordmark,e194,,
,livewire-plain,e195,,
,livewire-plain-wordmark,e196,,
,llvm-plain,e197,,
,lodash-plain,e198,,
,logstash-plain,e199,,
,logstash-plain-wordmark,e19a,,
,lua-plain,e19b,,
,lumen-original,e19c,,
,magento-original,e19d,,
,magento-plain-wordmark,e19e,,
,mariadb-original,e19f,,
,mariadb-original-wordmark,e1a0,,
,markdown-original,e1a1,,
,materializecss-plain,e1a2,,
,materialui-plain,e1a3,,
,matlab-plain,e1a4,,
,matplotlib-plain,e1a5,,
,matplotlib-plain-wordmark,e1a6,,
,maven-plain,e1a7,,
,maven-plain-wordmark,e1a8,,
,maya-plain,e1a9,,
,maya-plain-wordmark,e1aa,,
,meteor-plain,e1ab,,
,meteor-plain-wordmark,e1ac,,
,microsoftsqlserver-plain,e1ad,,
,microsoftsqlserver-plain-wordmark,e1ae,,
,minitab-plain,e1af,,
,mithril-original,e1b0,,
,mobx-plain,e1b1,,
,mocha-plain,e1b2,,
,modx-plain,e1b3,,
,modx-plain-wordmark,e1b4,,
,moleculer-original,e1b5,,
,moleculer-original-wordmark,e1b6,,
,mongodb-plain,e1b7,,
,mongodb-plain-wordmark,e1b8,,
,mongoose-original,e1b9,,
,mongoose-original-wordmark,e1ba,,
,moodle-plain,e1bb,,
,moodle-plain-wordmark,e1bc,,
,msdos-plain,e1bd,,
,mysql-original,e1be,,
,mysql-plain-wordmark,e1bf,,
,nano-plain,e1c0,,
,nano-plain-wordmark,e1c1,,
,neo4j-plain,e1c2,,
,neo4j-plain-wordmark,e1c3,,
,neovim-plain,e1c4,,
,neovim-plain-wordmark,e1c5,,
,nestjs-original,e1c6,,
,nestjs-original-wordmark,e1c7,,
,netlify-plain,e1c8,,
,netlify-plain-wordmark,e1c9,,
,networkx-plain,e1ca,,
,networkx-plain-wordmark,e1cb,,
,nextjs-original-wordmark,e1cc,,
,nextjs-plain,e1cd,,
,nginx-original,e1ce,,
,ngrx-plain,e1cf,,
,nhibernate-plain,e1d0,,
,nhibernate-plain-wordmark,e1d1,,
,nimble-plain,e1d2,,
,nim-plain,e1d3,,
,nim-plain-wordmark,e1d4,,
,nixos-plain,e1d5,,
,nixos-plain-wordmark,e1d6,,
,nodejs-plain,e1d7,,
,nodejs-plain-wordmark,e1d8,,
,nodemon-plain,e1d9,,
,nodewebkit-plain,e1da,,
,nodewebkit-plain-wordmark,e1db,,
,nomad-original,e1dc,,
,nomad-plain-wordmark,e1dd,,
,norg-plain,e1de,,
,notion-plain,e1df,,
,npm-original-wordmark,e1e0,,
,nuget-original,e1e1,,
,nuget-original-wordmark,e1e2,,
,numpy-plain,e1e3,,
,numpy-plain-wordmark,e1e4,,
,nuxtjs-plain,e1e5,,
,nuxtjs-plain-wordmark,e1e6,,
,oauth-plain,e1e7,,
,objectivec-plain,e1e8,,
,ocaml-plain,e1e9,,
,ocaml-plain-wordmark,e1ea,,
,ohmyzsh-plain,e1eb,,
,okta-plain,e1ec,,
,okta-plain-wordmark,e1ed,,
,openal-plain,e1ee,,
,openapi-plain,e1ef,,
,openapi-plain-wordmark,e1f0,,
,opencl-plain,e1f1,,
,opencv-plain,e1f2,,
,opencv-plain-wordmark,e1f3,,
,opengl-plain,e1f4,,
,openstack-original,e1f5,,
,openstack-plain-wordmark,e1f6,,
,opensuse-original,e1f7,,
,opensuse-original-wordmark,e1f8,,
,opentelemetry-plain,e1f9,,
