G,Name,U+,Style,Tags
,weather-cloudy,e10e,,
,weather-downpour,e10f,,
,weather-night,e110,,
,weather-partly-sunny,e111,,
,weather-shower,e112,,
,weather-snow,e113,,
,weather-stormy,e114,,
,weather-sunny,e115,,
,weather-windy,e117,,
,weather-windy-cloudy,e116,,
,wine,e118,,
,world,e11a,,
,world-2,e119,,
,zoom,e11e,,
,zoom-2,e11b,,
,zoom-in,e11c,,
,zoom-out,e11d,,
