G,Name,U+,Style,Tags
,location,e0f9,,
,lock,e0fb,,
,lock-small,e0fa,,
,magnet,e0fc,,
,mail,e0fe,,
,mail-read,e0fd,,
,map,e100,,
,map-filled,e0ff,,
,map-vertical,e102,,
,map-vertical-filled,e101,,
,markdown,e103,,
,megaphone,e104,,
,mention,e105,,
,menu,e106,,
,merge,e107,,
,mic,e109,,
,mic-filled,e108,,
,milestone,e10a,,
,mirror,e10b,,
,mortar-board,e10c,,
,move,e10d,,
,multiple-windows,e10e,,
,music,e10f,,
,mute,e110,,
,new-file,e111,,
,new-folder,e112,,
,newline,e113,,
,no-newline,e114,,
,note,e117,,
,notebook,e115,,
,notebook-template,e116,,
,octoface,e118,,
,open-preview,e119,,
,organization,e11a,,
,output,e11b,,
,package,e11c,,
,paintcan,e11d,,
,pass,e11f,,
,pass-filled,e11e,,
,percentage,e120,,
,person,e122,,
,person-add,e121,,
,piano,e123,,
,pie-chart,e124,,
,pin,e127,,
,pinned,e126,,
,pinned-dirty,e125,,
,play,e129,,
,play-circle,e128,,
,plug,e12a,,
,preserve-case,e12b,,
,preview,e12c,,
,primitive-square,e12d,,
,project,e12e,,
,pulse,e12f,,
,question,e130,,
,quote,e131,,
,radio-tower,e132,,
,reactions,e133,,
,record,e136,,
,record-keys,e134,,
,record-small,e135,,
,redo,e137,,
,references,e138,,
,refresh,e139,,
,regex,e13a,,
,remote,e13c,,
,remote-explorer,e13b,,
,remove,e13d,,
,replace,e13f,,
,replace-all,e13e,,
,reply,e140,,
,repo,e148,,
,repo-clone,e141,,
,repo-fetch,e142,,
,repo-force-push,e143,,
,repo-forked,e144,,
,repo-pull,e145,,
,repo-push,e146,,
,report,e147,,
,request-changes,e149,,
,robot,e14a,,
,rocket,e14b,,
,root-folder,e14d,,
,root-folder-opened,e14c,,
,rss,e14e,,
,ruby,e14f,,
,run-above,e150,,
,run-all,e152,,
,run-all-coverage,e151,,
,run-below,e153,,
,run-coverage,e154,,
,run-errors,e155,,
,save,e158,,
,save-all,e156,,
,save-as,e157,,
,screen-full,e159,,
,screen-normal,e15a,,
,search,e15d,,
,search-fuzzy,e15b,,
,search-stop,e15c,,
,send,e15e,,
,server,e161,,
,server-environment,e15f,,
,server-process,e160,,
,settings,e163,,
,settings-gear,e162,,
,share,e164,,
,shield,e165,,
,sign-in,e166,,
,sign-out,e167,,
,smiley,e168,,
,snake,e169,,
,sort-precedence,e16a,,
,source-control,e16b,,
,sparkle,e16d,,
,sparkle-filled,e16c,,
,split-horizontal,e16e,,
,split-vertical,e16f,,
,squirrel,e170,,
,star-empty,e171,,
,star-full,e172,,
,star-half,e173,,
,stop-circle,e174,,
,surround-with,e175,,
,symbol-array,e176,,
,symbol-boolean,e177,,
,symbol-class,e178,,
,symbol-color,e179,,
,symbol-constant,e17a,,
,symbol-enum,e17c,,
,symbol-enum-member,e17b,,
,symbol-event,e17d,,
,symbol-field,e17e,,
,symbol-file,e17f,,
,symbol-interface,e180,,
,symbol-key,e181,,
,symbol-keyword,e182,,
,symbol-method,e183,,
,symbol-misc,e184,,
,symbol-namespace,e185,,
,symbol-numeric,e186,,
,symbol-operator,e187,,
,symbol-parameter,e188,,
,symbol-property,e189,,
,symbol-ruler,e18a,,
,symbol-snippet,e18b,,
,symbol-string,e18c,,
,symbol-structure,e18d,,
,symbol-variable,e18e,,
,sync,e190,,
,sync-ignored,e18f,,
,table,e191,,
,tag,e192,,
,target,e193,,
,tasklist,e194,,
,telescope,e195,,
,terminal,e19b,,
,terminal-bash,e196,,
,terminal-cmd,e197,,
,terminal-debian,e198,,
,terminal-linux,e199,,
,terminal-powershell,e19a,,
,terminal-tmux,e19c,,
,terminal-ubuntu,e19d,,
,text-size,e19e,,
,three-bars,e19f,,
,thumbsdown,e1a1,,
,thumbsdown-filled,e1a0,,
,thumbsup,e1a3,,
,thumbsup-filled,e1a2,,
,tools,e1a4,,
,trash,e1a5,,
,triangle-down,e1a6,,
,triangle-left,e1a7,,
,triangle-right,e1a8,,
,triangle-up,e1a9,,
,twitter,e1aa,,
,type-hierarchy,e1ad,,
,type-hierarchy-sub,e1ab,,
,type-hierarchy-super,e1ac,,
,unfold,e1ae,,
,ungroup-by-ref-type,e1af,,
,unlock,e1b0,,
,unmute,e1b1,,
,unverified,e1b2,,
,variable-group,e1b3,,
,verified,e1b5,,
,verified-filled,e1b4,,
,versions,e1b6,,
,vm,e1bb,,
,vm-active,e1b7,,
,vm-connect,e1b8,,
,vm-outline,e1b9,,
,vm-running,e1ba,,
,vr,e1bc,,
,vscode,e1be,,
,vscode-insiders,e1bd,,
,wand,e1bf,,
,warning,e1c0,,
,watch,e1c1,,
,whitespace,e1c2,,
,whole-word,e1c3,,
,window,e1c4,,
,word-wrap,e1c5,,
,workspace-trusted,e1c6,,
,workspace-unknown,e1c7,,
,workspace-untrusted,e1c8,,
,zoom-in,e1c9,,
,zoom-out,e1ca,,
